#{"t_start": 1617882290.9513986, "env_id": "Warehouse-v0"}
r,l,t
10,100,9.820722
8,100,16.513878
15,100,23.514131
15,100,30.167026
22,100,37.145858
27,100,43.853912
25,100,50.874732
18,100,57.551976
24,100,64.820599
24,100,71.691973
20,100,79.107193
21,100,85.972826
30,100,93.242619
21,100,100.081075
31,100,107.209644
27,100,113.847839
23,100,121.001834
28,100,127.729089
21,100,134.798761
35,100,141.410508
26,100,148.555835
33,100,155.230668
24,100,162.307959
25,100,168.880286
32,100,175.875733
25,100,182.631982
29,100,189.668481
33,100,196.332445
36,100,203.328725
40,100,209.877719
22,100,217.116446
32,100,223.770885
29,100,230.847684
25,100,237.412954
31,100,244.439266
35,100,251.113013
27,100,258.2152
29,100,264.85357
35,100,271.816197
33,100,278.51558
33,100,285.530055
42,100,292.136425
31,100,299.218614
31,100,305.937935
30,100,313.117826
30,100,319.71662
39,100,326.747737
32,100,333.362928
27,100,340.446745
42,100,347.16645
35,100,354.29376
32,100,360.994923
33,100,368.002763
30,100,374.660816
37,100,381.750978
28,100,388.375015
45,100,395.48404
37,100,402.209044
28,100,409.298967
32,100,416.196043
40,100,423.333246
30,100,430.042508
28,100,437.314748
27,100,444.115792
31,100,451.265719
42,100,457.993268
30,100,465.106745
36,100,471.784878
34,100,478.957907
36,100,485.763496
32,100,492.872597
33,100,499.625042
28,100,506.838043
39,100,513.658006
33,100,520.89815
30,100,527.521462
34,100,534.598455
43,100,541.194977
30,100,548.262811
32,100,554.884202
31,100,562.069068
33,100,568.70205
30,100,575.850178
37,100,582.479352
34,100,589.556757
41,100,596.193698
32,100,603.247569
31,100,609.963099
35,100,617.037128
31,100,623.707608
35,100,630.922633
34,100,637.674794
37,100,644.799278
33,100,651.468871
34,100,658.534028
31,100,665.162622
36,100,672.256501
41,100,678.937232
34,100,685.995855
35,100,692.61545
31,100,699.657264
31,100,706.322305
35,100,713.40208
39,100,720.064839
36,100,727.158172
38,100,733.77814
37,100,740.842626
31,100,747.707574
29,100,755.027327
35,100,761.770368
34,100,768.888485
32,100,775.543175
46,100,782.66684
28,100,789.332865
35,100,796.442944
33,100,803.109524
37,100,810.208716
39,100,816.869348
33,100,823.944376
39,100,830.564358
36,100,837.691566
35,100,844.411144
27,100,851.516457
28,100,858.260948
35,100,865.430018
37,100,872.353749
34,100,879.508657
34,100,886.185381
32,100,893.261226
40,100,899.916238
38,100,907.008277
40,100,913.69321
34,100,920.92189
41,100,927.715523
43,100,935.188723
39,100,942.284787
39,100,949.34072
37,100,955.953672
42,100,962.965697
27,100,969.659321
26,100,976.929454
37,100,983.560223
32,100,990.602782
30,100,997.30194
38,100,1004.52694
39,100,1011.293719
35,100,1018.381979
38,100,1024.973897
43,100,1031.987962
28,100,1038.712929
45,100,1045.814953
33,100,1052.508873
36,100,1059.953854
26,100,1066.741421
38,100,1073.844586
38,100,1080.513283
32,100,1087.624935
40,100,1094.273365
29,100,1101.397713
30,100,1108.175321
35,100,1115.259453
26,100,1121.849802
40,100,1129.004725
25,100,1135.694821
28,100,1142.992094
34,100,1149.695329
38,100,1156.770408
34,100,1163.477051
40,100,1170.6976
34,100,1177.468914
37,100,1184.606711
29,100,1191.254559
31,100,1198.360122
36,100,1205.176377
40,100,1212.306902
39,100,1218.972198
35,100,1226.138834
39,100,1232.806737
39,100,1239.893595
38,100,1246.550558
33,100,1253.630844
41,100,1260.384565
40,100,1267.430875
44,100,1274.107329
39,100,1281.13914
38,100,1287.764737
38,100,1294.780737
37,100,1301.50367
33,100,1308.759773
37,100,1315.439698
42,100,1322.503304
41,100,1329.147319
36,100,1336.316696
36,100,1343.019326
37,100,1350.208454
34,100,1356.838019
38,100,1363.973504
37,100,1370.773388
38,100,1377.95608
35,100,1384.593591
22,100,1391.575206
37,100,1398.224273
44,100,1405.292856
34,100,1411.93275
42,100,1419.006227
33,100,1425.721544
35,100,1432.810046
35,100,1439.503134
37,100,1446.511028
38,100,1453.106795
33,100,1460.124783
33,100,1466.802289
35,100,1473.96307
35,100,1480.753849
37,100,1487.922134
29,100,1494.559529
32,100,1501.629862
40,100,1508.324185
31,100,1515.424874
39,100,1522.326507
30,100,1529.665229
36,100,1536.576378
40,100,1543.895454
34,100,1550.5223
42,100,1557.549122
43,100,1564.169399
35,100,1571.257543
37,100,1577.936247
39,100,1584.953709
41,100,1591.55735
36,100,1598.752359
31,100,1605.693571
33,100,1612.730047
39,100,1619.339247
44,100,1626.412124
32,100,1633.12753
34,100,1640.307245
37,100,1647.080345
44,100,1654.223138
33,100,1660.981223
31,100,1668.142471
38,100,1674.782045
