#{"t_start": 1617882290.384455, "env_id": "Warehouse-v0"}
r,l,t
8,100,10.374685
10,100,17.073972
5,100,24.089422
18,100,30.727139
19,100,37.705528
28,100,44.414792
21,100,51.434551
24,100,58.111008
19,100,65.379133
19,100,72.25254
24,100,79.665919
27,100,86.527919
21,100,93.804099
27,100,100.638458
30,100,107.772818
25,100,114.407963
30,100,121.56073
36,100,128.289375
26,100,135.353359
19,100,141.972059
26,100,149.112436
35,100,155.786565
38,100,162.868658
36,100,169.443776
25,100,176.450101
26,100,183.191694
35,100,190.225428
41,100,196.894232
34,100,203.884882
32,100,210.431152
33,100,217.67756
21,100,224.331809
31,100,231.407148
33,100,237.975157
32,100,244.996389
28,100,251.671653
29,100,258.774937
27,100,265.413117
44,100,272.375572
30,100,279.080079
34,100,286.092439
35,100,292.699145
38,100,299.779165
34,100,306.498096
35,100,313.678306
29,100,320.279095
38,100,327.309185
31,100,333.92317
30,100,341.003407
31,100,347.72417
36,100,354.847378
36,100,361.555736
29,100,368.562671
35,100,375.221177
31,100,382.310619
43,100,388.930007
37,100,396.038894
32,100,402.768364
31,100,409.85794
33,100,416.751475
27,100,423.892916
41,100,430.602496
43,100,437.888104
29,100,444.679481
31,100,451.824544
38,100,458.551302
42,100,465.666248
41,100,472.345609
42,100,479.517536
37,100,486.321342
27,100,493.432813
31,100,500.190584
25,100,507.395408
32,100,514.218497
28,100,521.451619
32,100,528.079999
47,100,535.154088
31,100,541.756775
42,100,548.821704
34,100,555.450058
30,100,562.627447
38,100,569.261708
38,100,576.410041
38,100,583.041148
28,100,590.112401
38,100,596.753627
34,100,603.821471
39,100,610.522876
42,100,617.597598
33,100,624.270751
40,100,631.481908
36,100,638.233736
39,100,645.358264
33,100,652.026262
40,100,659.085596
36,100,665.724223
38,100,672.817334
47,100,679.499609
34,100,686.555838
37,100,693.175642
33,100,700.221119
36,100,706.881485
31,100,713.962659
27,100,720.624618
29,100,727.718824
36,100,734.332142
33,100,741.405082
38,100,748.266687
41,100,755.587346
43,100,762.329262
28,100,769.449342
37,100,776.104337
31,100,783.214002
35,100,789.891057
32,100,797.000406
37,100,803.669481
33,100,810.768302
32,100,817.429262
46,100,824.504181
32,100,831.124236
39,100,838.253661
34,100,844.970677
32,100,852.075989
36,100,858.820484
39,100,865.989674
37,100,872.913952
32,100,880.069977
35,100,886.746233
42,100,893.821857
34,100,900.475666
39,100,907.566646
40,100,914.248165
41,100,921.481708
36,100,928.276194
43,100,935.740865
34,100,942.848221
29,100,949.901559
38,100,956.519301
27,100,963.520075
33,100,970.220626
44,100,977.484688
45,100,984.120895
38,100,991.169088
39,100,997.85889
36,100,1005.087354
37,100,1011.853696
36,100,1018.941457
41,100,1025.533981
45,100,1032.54786
30,100,1039.273924
36,100,1046.374161
36,100,1053.054706
43,100,1060.508313
34,100,1067.301031
33,100,1074.403422
32,100,1081.074024
32,100,1088.181718
38,100,1094.833838
33,100,1101.956596
37,100,1108.73785
39,100,1115.819194
40,100,1122.404189
36,100,1129.560128
41,100,1136.249385
38,100,1143.551131
33,100,1150.255103
37,100,1157.330271
37,100,1164.03805
40,100,1171.256416
41,100,1178.02829
41,100,1185.166305
35,100,1191.81419
36,100,1198.919932
33,100,1205.737331
37,100,1212.867546
32,100,1219.532083
34,100,1226.700439
39,100,1233.367651
38,100,1240.453508
38,100,1247.110064
34,100,1254.187666
38,100,1260.940737
31,100,1267.989263
33,100,1274.66581
44,100,1281.69894
47,100,1288.323049
44,100,1295.340639
44,100,1302.062933
40,100,1309.319047
31,100,1315.99735
31,100,1323.064063
37,100,1329.706107
32,100,1336.87624
37,100,1343.578695
40,100,1350.771561
36,100,1357.409593
45,100,1364.534038
29,100,1371.332336
31,100,1378.516772
44,100,1385.1559
27,100,1392.135053
38,100,1398.778498
38,100,1405.856234
35,100,1412.493001
41,100,1419.565804
35,100,1426.28111
40,100,1433.371627
42,100,1440.066262
43,100,1447.072523
38,100,1453.666054
25,100,1460.687788
36,100,1467.361667
31,100,1474.524585
43,100,1481.312956
33,100,1488.482112
43,100,1495.118429
43,100,1502.189694
33,100,1508.883479
42,100,1515.988472
38,100,1522.886683
36,100,1530.22474
38,100,1537.135342
34,100,1544.453709
42,100,1551.083069
26,100,1558.109037
40,100,1564.730174
32,100,1571.818543
28,100,1578.494895
27,100,1585.514613
37,100,1592.117002
25,100,1599.310767
29,100,1606.249014
37,100,1613.288549
38,100,1619.894402
40,100,1626.972156
41,100,1633.687553
37,100,1640.866627
29,100,1647.640734
47,100,1654.782785
38,100,1661.537557
44,100,1668.704198
34,100,1675.342038
39,100,1682.55174
32,100,1689.322548
31,100,1696.515701
34,100,1703.184742
34,100,1710.203306
30,100,1716.818696
36,100,1723.905818
37,100,1730.604341
43,100,1737.769419
37,100,1744.435111
35,100,1751.466351
38,100,1758.058622
35,100,1765.189921
39,100,1771.842864
39,100,1779.031067
37,100,1785.80858
33,100,1792.846194
43,100,1799.503247
37,100,1806.527458
34,100,1813.128499
46,100,1820.174198
28,100,1826.789714
29,100,1833.8942
32,100,1840.504029
29,100,1847.515407
38,100,1854.027753
34,100,1860.963261
25,100,1867.568061
24,100,1874.511768
27,100,1881.110118
31,100,1888.085934
41,100,1894.744444
38,100,1901.745067
31,100,1908.308063
36,100,1915.27191
34,100,1921.785521
34,100,1928.798682
32,100,1935.457859
36,100,1942.460682
36,100,1949.021414
37,100,1955.999549
35,100,1962.560611
26,100,1969.610623
