#{"t_start": 1617882290.6734178, "env_id": "Warehouse-v0"}
r,l,t
12,100,10.087453
17,100,16.785898
18,100,23.788304
16,100,30.439063
22,100,37.417459
27,100,44.126702
15,100,51.146543
18,100,57.824303
21,100,65.091262
20,100,71.964488
21,100,79.378032
17,100,86.240023
18,100,93.516049
27,100,100.35118
29,100,107.483942
33,100,114.120507
30,100,121.272725
42,100,128.002234
30,100,135.066157
27,100,141.683959
28,100,148.825281
39,100,155.499217
36,100,162.580663
40,100,169.153265
21,100,176.150064
40,100,182.903616
28,100,189.936531
30,100,196.606095
33,100,203.596879
36,100,210.143145
31,100,217.390463
28,100,224.043717
34,100,231.119143
36,100,237.696083
29,100,244.708678
26,100,251.384218
33,100,258.486885
32,100,265.125839
28,100,272.087524
30,100,278.789135
29,100,285.80198
30,100,292.409668
36,100,299.489474
34,100,306.210107
30,100,313.39112
31,100,319.990999
37,100,327.020715
21,100,333.634252
27,100,340.715348
25,100,347.446696
38,100,354.559402
36,100,361.267676
43,100,368.274575
33,100,374.933895
31,100,382.022565
31,100,388.642685
26,100,395.751713
35,100,402.48031
29,100,409.569995
37,100,416.465807
36,100,423.604872
35,100,430.314406
41,100,437.589689
32,100,444.386625
21,100,451.537207
32,100,458.264922
32,100,465.378195
37,100,472.057695
43,100,479.229523
31,100,486.034085
41,100,493.145626
27,100,499.902618
34,100,507.107469
33,100,513.931052
32,100,521.164436
35,100,527.791914
30,100,534.866077
36,100,541.468812
35,100,548.533719
28,100,555.157944
34,100,562.340461
31,100,568.973673
38,100,576.121979
31,100,582.763155
39,100,589.824263
31,100,596.46564
23,100,603.534035
29,100,610.234824
31,100,617.310431
34,100,623.978659
40,100,631.19391
31,100,637.946487
40,100,645.066938
39,100,651.740277
29,100,658.799607
38,100,665.438357
36,100,672.53042
24,100,679.21156
25,100,686.267766
30,100,692.887533
45,100,699.927706
37,100,706.594186
35,100,713.672554
36,100,720.336567
37,100,727.429921
38,100,734.044084
42,100,741.116153
38,100,747.978687
43,100,755.299365
37,100,762.042295
37,100,769.161249
35,100,775.808653
41,100,782.925995
35,100,789.604005
32,100,796.7132
36,100,803.381398
37,100,810.480254
41,100,817.14037
38,100,824.216109
36,100,830.836194
22,100,837.967097
39,100,844.683698
37,100,851.789346
43,100,858.532401
38,100,865.701671
32,100,872.626055
29,100,879.781752
36,100,886.457277
37,100,893.533874
32,100,900.187671
35,100,907.278583
30,100,913.960138
32,100,921.193768
30,100,927.988156
36,100,935.453878
37,100,942.557769
37,100,949.612682
35,100,956.227396
35,100,963.232489
49,100,969.933491
41,100,977.196688
40,100,983.832018
34,100,990.872211
45,100,997.572574
36,100,1004.802931
42,100,1011.565603
34,100,1018.654351
34,100,1025.245907
38,100,1032.259799
38,100,1038.985842
32,100,1046.086124
40,100,1052.767923
36,100,1060.217512
33,100,1067.013064
31,100,1074.11627
40,100,1080.785961
38,100,1087.893616
35,100,1094.544918
44,100,1101.668653
43,100,1108.459998
32,100,1115.533504
32,100,1122.116175
37,100,1129.27211
45,100,1135.962242
35,100,1143.264127
31,100,1149.967045
36,100,1157.042239
36,100,1163.749171
42,100,1170.968648
33,100,1177.740261
35,100,1184.878254
46,100,1191.52612
25,100,1198.631009
41,100,1205.448408
40,100,1212.580262
37,100,1219.244022
38,100,1226.411565
35,100,1233.079526
34,100,1240.16462
33,100,1246.819599
31,100,1253.91829
35,100,1260.6535
43,100,1267.70138
42,100,1274.376892
37,100,1281.410871
34,100,1288.035098
30,100,1295.052572
36,100,1301.776487
38,100,1309.031063
36,100,1315.70778
45,100,1322.775231
37,100,1329.418901
32,100,1336.588196
33,100,1343.290683
31,100,1350.479743
41,100,1357.110679
38,100,1364.245161
37,100,1371.044363
39,100,1378.229619
41,100,1384.870245
40,100,1391.846981
29,100,1398.491328
41,100,1405.564444
41,100,1412.204084
43,100,1419.277747
38,100,1425.993968
36,100,1433.082707
39,100,1439.777398
36,100,1446.784425
44,100,1453.37873
37,100,1460.394492
43,100,1467.074338
36,100,1474.235672
30,100,1481.025665
42,100,1488.19411
40,100,1494.831217
44,100,1501.901654
30,100,1508.596031
39,100,1515.71108
41,100,1522.598666
35,100,1529.936684
37,100,1536.847305
42,100,1544.165684
44,100,1550.793293
35,100,1557.820958
38,100,1564.439756
31,100,1571.529675
37,100,1578.206843
35,100,1585.226547
31,100,1591.828919
43,100,1599.02284
45,100,1605.960907
36,100,1613.00152
30,100,1619.606309
44,100,1626.681084
43,100,1633.398643
32,100,1640.579573
36,100,1647.352751
36,100,1654.494739
