#{"t_start": 1617882290.400637, "env_id": "Warehouse-v0"}
r,l,t
10,100,10.361089
11,100,17.059546
19,100,24.060507
20,100,30.712708
23,100,37.691128
25,100,44.400345
21,100,51.420226
32,100,58.097503
24,100,65.365179
26,100,72.238228
27,100,79.651888
24,100,86.513867
33,100,93.789708
15,100,100.624837
29,100,107.759768
28,100,114.394146
32,100,121.546481
33,100,128.275051
30,100,135.338948
26,100,141.957607
29,100,149.099915
30,100,155.772302
29,100,162.854436
31,100,169.427659
40,100,176.432437
31,100,183.177318
34,100,190.210176
36,100,196.879716
23,100,203.873276
33,100,210.416864
35,100,217.667975
23,100,224.319744
27,100,231.392869
24,100,237.961461
29,100,244.988068
32,100,251.657873
32,100,258.760569
28,100,265.401051
33,100,272.361206
33,100,279.061021
24,100,286.0756
27,100,292.68371
44,100,299.764052
35,100,306.483845
32,100,313.663975
37,100,320.264637
33,100,327.294303
27,100,333.90854
24,100,340.989014
30,100,347.717917
36,100,354.833186
27,100,361.542176
34,100,368.548223
32,100,375.206722
33,100,382.296261
32,100,388.915608
37,100,396.024568
33,100,402.755012
39,100,409.843813
35,100,416.737781
31,100,423.878542
37,100,430.588057
34,100,437.863409
33,100,444.66032
32,100,451.810851
32,100,458.545655
33,100,465.651856
38,100,472.331319
46,100,479.503268
34,100,486.306946
36,100,493.419322
33,100,500.182923
38,100,507.382852
38,100,514.20477
25,100,521.438147
35,100,528.066282
37,100,535.139747
39,100,541.742597
35,100,548.807957
40,100,555.42943
36,100,562.614217
29,100,569.247384
41,100,576.395666
28,100,583.025893
36,100,590.097514
41,100,596.740216
41,100,603.797221
30,100,610.509309
30,100,617.583212
39,100,624.253235
42,100,631.467699
33,100,638.220149
35,100,645.339171
40,100,652.013965
38,100,659.073212
33,100,665.708169
39,100,672.803061
42,100,679.485236
22,100,686.541409
40,100,693.161137
29,100,700.201288
35,100,706.867846
39,100,713.946943
37,100,720.610256
42,100,727.704426
49,100,734.317712
41,100,741.390476
40,100,748.252415
38,100,755.573144
43,100,762.315884
31,100,769.434933
38,100,776.083116
39,100,783.201389
43,100,789.877762
33,100,796.986498
30,100,803.655012
42,100,810.754848
31,100,817.415018
44,100,824.489808
37,100,831.109902
41,100,838.240434
35,100,844.957296
38,100,852.062486
29,100,858.806068
39,100,865.975394
35,100,872.899789
30,100,880.053965
35,100,886.730922
37,100,893.807575
37,100,900.461396
36,100,907.553236
40,100,914.233895
41,100,921.468224
49,100,928.261884
35,100,935.728556
28,100,942.825722
31,100,949.88691
36,100,956.501587
37,100,963.505673
34,100,970.207205
35,100,977.470442
40,100,984.105637
38,100,991.142884
32,100,997.847501
37,100,1005.072224
46,100,1011.839266
51,100,1018.928069
38,100,1025.519553
39,100,1032.534199
35,100,1039.259494
40,100,1046.359928
33,100,1053.041801
49,100,1060.492258
42,100,1067.28678
35,100,1074.389996
40,100,1081.059628
33,100,1088.177514
34,100,1094.81858
36,100,1101.942486
37,100,1108.71931
32,100,1115.804789
27,100,1122.389898
37,100,1129.545817
34,100,1136.235528
35,100,1143.537594
36,100,1150.240712
33,100,1157.315912
39,100,1164.023614
43,100,1171.242244
41,100,1178.01401
45,100,1185.152002
33,100,1191.79978
32,100,1198.90606
39,100,1205.722885
38,100,1212.853516
39,100,1219.517671
36,100,1226.68597
33,100,1233.353159
41,100,1240.44123
30,100,1247.094064
32,100,1254.17678
40,100,1260.927202
29,100,1267.975085
38,100,1274.651272
36,100,1281.684553
36,100,1288.308839
39,100,1295.32704
44,100,1302.049294
43,100,1309.304816
34,100,1315.982215
36,100,1323.050024
44,100,1329.694393
33,100,1336.861878
31,100,1343.564421
41,100,1350.752163
31,100,1357.382382
40,100,1364.51885
35,100,1371.318205
40,100,1378.502422
29,100,1385.140777
41,100,1392.120619
45,100,1398.76496
41,100,1405.836443
36,100,1412.477683
41,100,1419.551453
37,100,1426.267681
40,100,1433.35634
38,100,1440.051598
29,100,1447.058074
42,100,1453.651563
41,100,1460.669816
43,100,1467.347949
35,100,1474.509321
40,100,1481.299304
42,100,1488.467923
34,100,1495.104883
44,100,1502.175365
28,100,1508.871881
33,100,1515.972388
36,100,1522.872394
39,100,1530.210367
47,100,1537.121014
34,100,1544.439396
26,100,1551.067712
34,100,1558.094637
35,100,1564.714245
33,100,1571.803342
37,100,1578.480505
36,100,1585.500972
31,100,1592.102562
31,100,1599.296652
46,100,1606.234545
37,100,1613.275285
32,100,1619.879975
30,100,1626.954777
35,100,1633.673032
36,100,1640.852423
40,100,1647.626475
32,100,1654.76846
27,100,1661.523291
29,100,1668.692789
45,100,1675.326887
39,100,1682.541204
39,100,1689.308355
36,100,1696.503058
39,100,1703.169462
41,100,1710.188925
35,100,1716.8042
35,100,1723.891448
43,100,1730.590003
32,100,1737.755085
38,100,1744.420262
29,100,1751.449427
38,100,1758.043897
38,100,1765.175672
32,100,1771.839706
37,100,1779.016765
29,100,1785.793293
47,100,1792.831865
36,100,1799.489377
39,100,1806.514123
38,100,1813.115943
38,100,1820.162211
38,100,1826.762541
35,100,1833.879853
45,100,1840.489605
38,100,1847.500989
32,100,1854.013292
36,100,1860.948828
33,100,1867.55401
40,100,1874.497606
40,100,1881.094404
37,100,1888.072462
37,100,1894.730005
34,100,1901.730701
40,100,1908.293476
34,100,1915.257469
35,100,1921.771075
37,100,1928.784405
32,100,1935.444837
40,100,1942.444587
33,100,1949.006906
35,100,1955.997491
34,100,1962.546192
27,100,1969.597048
32,100,1976.140487
44,100,1983.106482
49,100,1989.93531
38,100,1997.070062
38,100,2003.619454
39,100,2010.598405
37,100,2017.154816
42,100,2024.128334
35,100,2030.697721
42,100,2037.690629
36,100,2044.256302
36,100,2051.264853
32,100,2057.825758
47,100,2064.835203
43,100,2071.458791
30,100,2078.451631
40,100,2085.240532
34,100,2092.27742
38,100,2098.83659
36,100,2105.779965
30,100,2112.245257
37,100,2119.205813
42,100,2125.835511
46,100,2132.911311
40,100,2139.552917
39,100,2146.535357
43,100,2153.119861
33,100,2160.105029
36,100,2166.753195
38,100,2173.68746
37,100,2180.282772
36,100,2187.261068
42,100,2193.868706
35,100,2200.854467
37,100,2207.477976
41,100,2214.409608
34,100,2221.071745
30,100,2228.118765
33,100,2234.70506
37,100,2241.69684
33,100,2248.311966
25,100,2255.362437
26,100,2261.937208
40,100,2268.975071
43,100,2275.545455
44,100,2282.502887
33,100,2289.137052
39,100,2296.109086
29,100,2302.940123
43,100,2309.980834
43,100,2316.560932
38,100,2323.596159
31,100,2330.226069
41,100,2337.157554
25,100,2343.707982
31,100,2350.666132
33,100,2357.190235
41,100,2364.14383
37,100,2370.740235
25,100,2377.730305
39,100,2384.406699
36,100,2391.430191
40,100,2398.074876
37,100,2405.042525
27,100,2411.658124
35,100,2418.590441
40,100,2425.34037
28,100,2432.570783
41,100,2439.341181
38,100,2446.490485
47,100,2453.11856
37,100,2460.153083
35,100,2466.821194
31,100,2473.856074
38,100,2480.457817
43,100,2487.469115
35,100,2494.164522
36,100,2501.360393
35,100,2508.060764
38,100,2515.070902
38,100,2521.67216
40,100,2528.682436
35,100,2535.324994
36,100,2542.503982
41,100,2549.3375
43,100,2556.555973
45,100,2563.378514
41,100,2570.713002
39,100,2577.446586
36,100,2584.628955
28,100,2591.324906
33,100,2598.296847
30,100,2604.839221
42,100,2611.93418
47,100,2618.597028
37,100,2625.588566
45,100,2632.261435
41,100,2639.18914
33,100,2645.835354
35,100,2652.822182
43,100,2659.418987
48,100,2666.438948
37,100,2672.972323
35,100,2679.91814
36,100,2686.612478
38,100,2693.597252
34,100,2700.199273
43,100,2707.232295
41,100,2714.020993
38,100,2721.13623
39,100,2727.796522
40,100,2734.90607
35,100,2741.679373
29,100,2748.799385
45,100,2755.491018
36,100,2762.559996
30,100,2769.187218
36,100,2776.279067
35,100,2782.941074
35,100,2790.029418
35,100,2796.732858
37,100,2803.834845
36,100,2810.530116
