#{"t_start": 1617882291.0708117, "env_id": "Warehouse-v0"}
r,l,t
13,100,9.698782
8,100,16.398527
19,100,23.397085
15,100,30.052862
19,100,37.031655
24,100,43.740224
22,100,50.761018
21,100,57.438027
24,100,64.706688
24,100,71.579553
26,100,78.993756
22,100,85.864995
30,100,93.129814
25,100,99.964222
30,100,107.095565
27,100,113.731615
26,100,120.885543
21,100,127.611912
24,100,134.676561
33,100,141.293873
29,100,148.436272
27,100,155.106955
28,100,162.194402
36,100,168.765244
25,100,175.76119
31,100,182.519266
33,100,189.548518
21,100,196.216554
41,100,203.207416
28,100,209.755346
36,100,217.001832
31,100,223.657125
29,100,230.730299
35,100,237.297309
26,100,244.316588
40,100,250.998871
28,100,258.100095
28,100,264.739083
30,100,271.70132
37,100,278.401387
38,100,285.415501
38,100,292.022168
40,100,299.101233
39,100,305.822313
35,100,312.999654
35,100,319.598348
33,100,326.632004
41,100,333.246305
32,100,340.323703
39,100,347.044727
31,100,354.172287
37,100,360.881036
25,100,367.888253
39,100,374.542903
32,100,381.636711
37,100,388.252406
36,100,395.361856
32,100,402.095233
28,100,409.185229
36,100,416.078065
29,100,423.219714
35,100,429.927907
47,100,437.203127
38,100,444.000834
31,100,451.152038
30,100,457.870155
38,100,464.991913
35,100,471.668155
41,100,478.843005
29,100,485.647311
37,100,492.757406
30,100,499.511968
35,100,506.718327
38,100,513.544865
36,100,520.775166
28,100,527.40298
29,100,534.475845
41,100,541.082968
35,100,548.147958
33,100,554.772308
39,100,561.954486
36,100,568.584947
32,100,575.736651
36,100,582.361952
38,100,589.433108
40,100,596.078982
37,100,603.137715
31,100,609.848567
31,100,616.923883
37,100,623.591779
38,100,630.808075
40,100,637.562444
33,100,644.678861
33,100,651.353685
33,100,658.41263
37,100,665.046727
40,100,672.142259
40,100,678.820646
32,100,685.879112
35,100,692.496408
38,100,699.541779
37,100,706.207219
40,100,713.28551
33,100,719.950915
38,100,727.044115
33,100,733.656026
34,100,740.729906
38,100,747.594328
38,100,754.913352
38,100,761.652961
38,100,768.774964
38,100,775.431418
35,100,782.535486
29,100,789.218693
33,100,796.328158
29,100,802.992027
45,100,810.093856
34,100,816.756046
41,100,823.830845
42,100,830.447678
