#{"t_start": 1617908667.46591, "env_id": "Warehouse-v0"}
r,l,t
7,100,16.76424
7,100,22.149794
24,100,27.891521
14,100,33.333636
19,100,39.019601
18,100,44.383279
16,100,50.170937
15,100,55.592971
16,100,61.301779
16,100,66.729737
22,100,72.431891
29,100,77.783645
24,100,83.539102
20,100,88.895852
20,100,94.654381
23,100,99.998418
24,100,105.704549
29,100,111.08429
28,100,116.830194
31,100,122.184007
29,100,127.95018
29,100,133.369409
26,100,139.151672
31,100,144.486313
30,100,150.225749
18,100,155.651171
29,100,161.355988
25,100,166.741853
30,100,172.468858
30,100,177.820613
21,100,183.519009
22,100,188.845919
35,100,194.712402
36,100,200.184577
27,100,206.101253
35,100,211.576533
31,100,217.329895
27,100,222.657621
21,100,228.448707
36,100,233.890958
29,100,239.691642
27,100,245.135165
34,100,250.880759
33,100,256.257459
35,100,262.008067
27,100,267.435295
29,100,273.089749
33,100,278.488501
23,100,284.304858
36,100,289.731643
31,100,295.498887
24,100,300.909254
27,100,306.598383
19,100,311.9515
28,100,317.62432
28,100,323.005666
23,100,328.712501
19,100,334.131996
26,100,339.848577
35,100,345.17355
36,100,350.889233
34,100,356.25939
30,100,362.02658
26,100,367.54667
38,100,373.374532
26,100,378.831953
28,100,384.634057
26,100,390.030881
27,100,395.780343
29,100,401.185102
31,100,406.901572
37,100,412.278021
28,100,417.994927
32,100,423.38946
39,100,429.134989
26,100,434.529935
45,100,440.321131
27,100,445.734574
27,100,451.524593
36,100,456.994503
42,100,462.786092
30,100,468.220426
29,100,473.945745
21,100,479.316301
25,100,485.106838
36,100,490.495733
30,100,496.289374
30,100,501.70607
22,100,507.655468
31,100,513.1276
24,100,518.852684
28,100,524.204847
33,100,529.977956
28,100,535.384368
28,100,541.066571
28,100,546.491807
30,100,552.222709
33,100,557.575094
42,100,563.230567
35,100,568.565267
35,100,574.264642
26,100,579.568801
34,100,585.257562
38,100,590.655891
37,100,596.440655
29,100,601.800091
40,100,607.505809
38,100,612.926151
30,100,618.635157
32,100,623.966141
32,100,629.709322
30,100,635.068698
40,100,640.697602
24,100,646.058727
34,100,651.784247
31,100,657.163583
27,100,663.033197
33,100,668.422268
35,100,674.167056
27,100,679.554975
37,100,685.308256
35,100,690.705348
28,100,696.502926
29,100,701.872049
34,100,707.596313
30,100,712.950834
27,100,718.66219
40,100,724.072968
32,100,729.835046
38,100,735.2664
34,100,740.962761
33,100,746.285592
26,100,751.938616
40,100,757.30656
28,100,763.061345
37,100,768.427869
35,100,774.174015
32,100,779.56852
29,100,785.257403
28,100,790.588177
42,100,796.24792
36,100,801.549363
32,100,807.312726
34,100,812.700023
34,100,818.470821
35,100,823.8828
28,100,829.584894
33,100,834.936567
30,100,840.656953
38,100,845.991208
37,100,851.764632
32,100,857.1701
29,100,862.947574
27,100,868.307841
26,100,873.988061
37,100,879.272141
32,100,884.849284
40,100,890.17354
32,100,895.873558
32,100,901.226765
36,100,906.923487
37,100,912.259547
34,100,917.994862
25,100,923.296616
32,100,929.014678
32,100,934.36642
33,100,940.064201
39,100,945.397672
31,100,951.092377
32,100,956.438917
33,100,962.067449
32,100,967.371677
35,100,973.035375
32,100,978.361951
29,100,984.052848
38,100,989.36659
35,100,995.147746
35,100,1000.43279
33,100,1006.108925
35,100,1011.413838
28,100,1017.145802
31,100,1022.524335
30,100,1028.218879
34,100,1033.528379
33,100,1039.142537
36,100,1044.431622
37,100,1050.078794
36,100,1055.401682
39,100,1061.133852
34,100,1066.425398
38,100,1072.036795
38,100,1077.293072
29,100,1082.90586
36,100,1088.188061
27,100,1093.803382
43,100,1099.094562
21,100,1104.719112
42,100,1110.046109
37,100,1115.707056
35,100,1120.979656
30,100,1126.802809
31,100,1132.235116
34,100,1138.022514
32,100,1143.256465
38,100,1148.877454
38,100,1154.151891
36,100,1159.875162
37,100,1165.12675
34,100,1170.7873
34,100,1176.044009
32,100,1181.653316
29,100,1186.88421
32,100,1192.547836
28,100,1197.821738
32,100,1203.429082
38,100,1208.633692
36,100,1214.241987
37,100,1219.467807
28,100,1225.106295
21,100,1230.375748
32,100,1235.959126
32,100,1241.186027
27,100,1246.756789
29,100,1252.03208
29,100,1257.715009
33,100,1262.953737
42,100,1268.607947
34,100,1273.823688
22,100,1279.392066
26,100,1284.622962
32,100,1290.259617
37,100,1295.531854
38,100,1301.083313
33,100,1306.360753
29,100,1311.958143
34,100,1317.226382
34,100,1322.957223
34,100,1328.205492
31,100,1333.827652
32,100,1339.089618
34,100,1344.786757
26,100,1350.128644
32,100,1355.753786
32,100,1361.019994
31,100,1366.636581
30,100,1371.84969
38,100,1377.480489
32,100,1382.716512
36,100,1388.33165
33,100,1393.550535
30,100,1399.131644
37,100,1404.375447
30,100,1410.043417
25,100,1415.273376
26,100,1420.896554
36,100,1426.147756
20,100,1431.731038
36,100,1437.119224
34,100,1442.843565
32,100,1448.114763
34,100,1453.757337
30,100,1459.036422
45,100,1464.740306
24,100,1470.092729
26,100,1475.755388
37,100,1481.034369
29,100,1486.738366
30,100,1492.018295
34,100,1497.705759
41,100,1503.038547
29,100,1508.755772
28,100,1514.083165
29,100,1519.872195
36,100,1525.178769
32,100,1530.863082
39,100,1536.199417
28,100,1541.910135
30,100,1547.267396
34,100,1553.057328
37,100,1558.396172
40,100,1564.140853
41,100,1569.484635
32,100,1575.221451
35,100,1580.568682
33,100,1586.375356
43,100,1591.763641
24,100,1597.412264
27,100,1602.696944
39,100,1608.380125
34,100,1613.676271
42,100,1619.399162
32,100,1624.719274
32,100,1630.372931
37,100,1635.6891
31,100,1641.303413
38,100,1646.549517
33,100,1652.223111
28,100,1657.634956
38,100,1663.30654
35,100,1668.629494
41,100,1674.255579
36,100,1679.512719
36,100,1685.170437
35,100,1690.434924
38,100,1696.114601
34,100,1701.377966
33,100,1707.015506
31,100,1712.308802
40,100,1717.961861
37,100,1723.209446
36,100,1728.82635
45,100,1734.111145
34,100,1739.799677
30,100,1745.048854
31,100,1750.763593
29,100,1756.158441
35,100,1761.714939
40,100,1767.040356
38,100,1772.724928
40,100,1777.982001
40,100,1783.658827
30,100,1788.910181
29,100,1794.489721
33,100,1799.724147
41,100,1805.332033
31,100,1810.584632
36,100,1816.223869
42,100,1821.461907
34,100,1827.224224
29,100,1832.533405
39,100,1838.186791
44,100,1843.414856
36,100,1849.09321
30,100,1854.397171
37,100,1860.051495
35,100,1865.324363
35,100,1870.985649
24,100,1876.305788
25,100,1882.020808
34,100,1887.30524
31,100,1892.90433
31,100,1898.201311
34,100,1903.83967
37,100,1909.146322
32,100,1914.852715
30,100,1920.20563
39,100,1925.938174
28,100,1931.324441
38,100,1936.981905
33,100,1942.298666
39,100,1947.978824
39,100,1953.346695
32,100,1959.027934
38,100,1964.297523
33,100,1969.940906
39,100,1975.205081
32,100,1980.891093
36,100,1986.215129
36,100,1991.911847
26,100,1997.239874
29,100,2002.931172
34,100,2008.317655
32,100,2014.097364
28,100,2019.472696
30,100,2025.193681
34,100,2030.552289
32,100,2036.26524
32,100,2041.692579
36,100,2047.476581
46,100,2052.800478
38,100,2058.684559
42,100,2064.191822
33,100,2070.09628
33,100,2075.56716
30,100,2081.329916
37,100,2086.668628
29,100,2092.474053
35,100,2097.847487
36,100,2103.580945
26,100,2109.045353
36,100,2114.875783
40,100,2120.323302
39,100,2126.096932
32,100,2131.479409
34,100,2137.27003
32,100,2142.637876
31,100,2148.466863
37,100,2153.891921
28,100,2159.736427
41,100,2165.252909
45,100,2171.094616
41,100,2176.461082
30,100,2182.279468
46,100,2187.668663
28,100,2193.495704
41,100,2198.958899
36,100,2204.774577
35,100,2210.246303
34,100,2216.143015
35,100,2221.654572
28,100,2227.525129
29,100,2232.99125
33,100,2238.902815
38,100,2244.389806
31,100,2250.222006
32,100,2255.734812
35,100,2261.542046
28,100,2267.006358
31,100,2272.838329
38,100,2278.315645
40,100,2284.129557
31,100,2289.497458
34,100,2295.297123
35,100,2300.6646
