#{"t_start": 1617908667.4117942, "env_id": "Warehouse-v0"}
r,l,t
6,100,16.81735
12,100,22.203204
13,100,27.949865
21,100,33.386865
19,100,39.072844
15,100,44.43658
14,100,50.22419
17,100,55.648236
23,100,61.355029
18,100,66.782888
21,100,72.488016
25,100,77.842005
15,100,83.592431
22,100,88.948871
30,100,94.707654
19,100,100.051751
27,100,105.765996
28,100,111.137314
21,100,116.881429
22,100,122.24103
38,100,128.009719
27,100,133.425963
27,100,139.20729
20,100,144.539549
32,100,150.280376
32,100,155.709457
33,100,161.409331
34,100,166.789446
20,100,172.522018
33,100,177.87544
27,100,183.575843
33,100,188.89281
31,100,194.767347
33,100,200.237655
27,100,206.154455
23,100,211.621521
24,100,217.380011
33,100,222.7114
33,100,228.501173
35,100,233.944174
34,100,239.750849
30,100,245.18834
31,100,250.933899
25,100,256.314561
39,100,262.061375
32,100,267.488469
25,100,273.143166
26,100,278.541779
28,100,284.35811
28,100,289.786999
25,100,295.552064
23,100,300.961682
27,100,306.657903
31,100,312.004744
24,100,317.67703
23,100,323.058251
29,100,328.765751
27,100,334.181987
33,100,339.899257
26,100,345.226635
38,100,350.942425
27,100,356.312575
31,100,362.079691
37,100,367.599743
29,100,373.427756
27,100,378.885067
25,100,384.687359
32,100,390.081752
35,100,395.833536
36,100,401.238392
32,100,406.954829
35,100,412.331274
33,100,418.048053
32,100,423.442691
34,100,429.195727
34,100,434.583112
31,100,440.377291
32,100,445.787763
33,100,451.577789
29,100,457.055511
33,100,462.839156
32,100,468.274469
43,100,473.998945
26,100,479.372491
36,100,485.160086
32,100,490.548327
32,100,496.342654
24,100,501.759239
28,100,507.707914
16,100,513.180978
32,100,518.913555
39,100,524.257505
30,100,530.031164
32,100,535.437624
27,100,541.122056
28,100,546.544349
28,100,552.287328
34,100,557.628161
32,100,563.288358
32,100,568.617592
40,100,574.317902
38,100,579.622954
27,100,585.301002
42,100,590.701325
28,100,596.483358
27,100,601.852228
29,100,607.55887
30,100,612.980266
34,100,618.686769
39,100,624.019336
27,100,629.762545
36,100,635.122308
33,100,640.750763
42,100,646.111128
44,100,651.837878
42,100,657.211476
33,100,663.07757
38,100,668.473249
39,100,674.22033
43,100,679.617817
36,100,685.361508
25,100,690.758739
36,100,696.555438
30,100,701.925244
31,100,707.658513
20,100,713.00404
35,100,718.715336
31,100,724.126516
37,100,729.888247
32,100,735.319684
34,100,741.016017
