#{"t_start": 1617908667.5866709, "env_id": "Warehouse-v0"}
r,l,t
20,100,16.650378
15,100,22.030719
10,100,27.775908
17,100,33.214756
13,100,38.901269
20,100,44.264275
19,100,50.052062
14,100,55.476097
27,100,61.183543
20,100,66.610831
20,100,72.311872
22,100,77.658748
33,100,83.41593
30,100,88.776994
24,100,94.535377
31,100,99.88006
21,100,105.593297
19,100,110.967089
21,100,116.710035
27,100,122.061773
27,100,127.834112
38,100,133.248226
31,100,139.030166
24,100,144.370262
24,100,150.104229
15,100,155.532234
27,100,161.235396
29,100,166.614433
18,100,172.349861
25,100,177.69839
37,100,183.401071
33,100,188.717293
31,100,194.589827
31,100,200.065942
28,100,205.982341
32,100,211.448613
29,100,217.208061
41,100,222.539356
28,100,228.335129
34,100,233.771997
37,100,239.572877
33,100,245.01613
28,100,250.764921
29,100,256.13818
32,100,261.889115
25,100,267.315434
24,100,272.970176
26,100,278.369486
25,100,284.185855
28,100,289.604483
19,100,295.379929
18,100,300.790308
28,100,306.483966
24,100,311.832418
28,100,317.503632
18,100,322.885744
31,100,328.593522
35,100,334.008062
28,100,339.725838
24,100,345.054594
29,100,350.769416
32,100,356.140485
36,100,361.907788
33,100,367.427308
24,100,373.255661
29,100,378.712994
31,100,384.51507
21,100,389.90944
32,100,395.661446
29,100,401.067247
32,100,406.782545
29,100,412.159
38,100,417.875115
34,100,423.273251
43,100,429.015194
30,100,434.410899
28,100,440.20367
36,100,445.615617
28,100,451.41209
27,100,456.874468
37,100,462.668171
28,100,468.102093
28,100,473.827245
32,100,479.194733
34,100,484.987966
27,100,490.37585
31,100,496.169354
28,100,501.587082
25,100,507.537382
30,100,513.009647
30,100,518.734562
36,100,524.08503
33,100,529.858924
36,100,535.265809
36,100,540.955629
29,100,546.372616
39,100,552.10381
41,100,557.456234
31,100,563.117665
37,100,568.445491
34,100,574.146227
35,100,579.446748
31,100,585.131144
22,100,590.531664
27,100,596.306634
33,100,601.681571
38,100,607.387946
36,100,612.807165
27,100,618.51667
31,100,623.847107
30,100,629.588842
26,100,634.949671
30,100,640.577834
36,100,645.93892
27,100,651.666112
35,100,657.042052
32,100,662.902643
31,100,668.301036
32,100,674.046393
29,100,679.436754
27,100,685.189308
31,100,690.58623
25,100,696.384466
23,100,701.752938
35,100,707.476537
34,100,712.831971
36,100,718.543283
36,100,723.952938
36,100,729.716903
35,100,735.148253
32,100,740.843646
27,100,746.166492
41,100,751.813328
32,100,757.187448
33,100,762.938889
35,100,768.308869
33,100,774.052728
30,100,779.450264
28,100,785.138331
28,100,790.469244
41,100,796.117867
38,100,801.431322
30,100,807.19382
30,100,812.581118
38,100,818.352025
37,100,823.764465
36,100,829.466058
27,100,834.817512
38,100,840.537919
30,100,845.872164
33,100,851.645582
34,100,857.050305
41,100,862.832157
31,100,868.190391
28,100,873.869133
29,100,879.14357
32,100,884.730133
35,100,890.054546
40,100,895.754622
36,100,901.10762
26,100,906.804493
30,100,912.140468
30,100,917.875775
38,100,923.177749
28,100,928.895531
31,100,934.247484
27,100,939.945142
26,100,945.278788
31,100,950.979057
36,100,956.320056
28,100,961.948482
38,100,967.24097
39,100,972.91247
35,100,978.242903
28,100,983.933899
34,100,989.246888
35,100,995.035915
30,100,1000.315363
32,100,1005.982414
36,100,1011.300482
33,100,1017.028078
40,100,1022.405383
18,100,1028.098839
29,100,1033.400848
36,100,1039.022656
36,100,1044.307291
30,100,1049.957098
33,100,1055.275313
30,100,1061.012971
45,100,1066.306404
29,100,1071.916504
40,100,1077.17486
33,100,1082.781941
36,100,1088.063698
28,100,1093.681662
30,100,1098.975831
30,100,1104.600067
31,100,1109.927662
35,100,1115.588047
30,100,1120.86056
35,100,1126.683034
40,100,1132.11627
27,100,1137.903446
31,100,1143.137972
31,100,1148.759235
30,100,1154.032601
32,100,1159.756917
34,100,1165.007674
42,100,1170.674104
35,100,1175.925008
42,100,1181.533823
36,100,1186.76513
38,100,1192.434973
40,100,1197.701501
39,100,1203.311374
34,100,1208.514586
33,100,1214.128838
35,100,1219.349548
41,100,1224.987323
33,100,1230.256628
39,100,1235.829422
34,100,1241.066866
37,100,1246.637748
25,100,1251.913082
36,100,1257.595971
26,100,1262.835794
39,100,1268.488699
38,100,1273.70547
38,100,1279.272572
34,100,1284.504785
29,100,1290.140538
40,100,1295.410283
32,100,1300.95715
41,100,1306.241684
31,100,1311.83875
32,100,1317.102233
35,100,1322.829269
39,100,1328.087459
34,100,1333.708572
32,100,1338.970628
28,100,1344.668676
45,100,1350.009561
31,100,1355.634976
33,100,1360.894343
40,100,1366.517581
37,100,1371.729657
38,100,1377.350019
39,100,1382.598342
30,100,1388.214452
37,100,1393.431451
36,100,1399.012547
30,100,1404.262316
39,100,1409.924454
35,100,1415.154417
31,100,1420.777502
33,100,1426.028795
34,100,1431.611985
29,100,1436.999185
29,100,1442.723618
32,100,1447.995853
33,100,1453.626818
35,100,1458.912701
39,100,1464.622855
32,100,1469.973751
24,100,1475.637663
37,100,1480.914691
29,100,1486.618456
30,100,1491.899146
35,100,1497.586826
38,100,1502.919411
40,100,1508.635997
33,100,1513.964202
35,100,1519.752146
31,100,1525.062255
32,100,1530.74418
33,100,1536.080519
35,100,1541.789374
30,100,1547.150415
