#{"t_start": 1617908667.1710005, "env_id": "Warehouse-v0"}
r,l,t
9,100,17.053091
11,100,22.439785
11,100,28.183479
13,100,33.622805
26,100,39.310915
19,100,44.672758
13,100,50.4606
15,100,55.884115
20,100,61.592338
16,100,67.019086
16,100,72.717035
25,100,78.069778
25,100,83.822942
26,100,89.185463
23,100,94.94398
20,100,100.289316
28,100,105.99622
13,100,111.374367
30,100,117.113938
29,100,122.471026
27,100,128.240636
24,100,133.655681
28,100,139.43815
35,100,144.776748
26,100,150.509712
26,100,155.943293
36,100,161.64544
34,100,167.027535
35,100,172.758192
32,100,178.107288
34,100,183.804515
19,100,189.127998
29,100,194.999005
28,100,200.473387
19,100,206.39053
28,100,211.860045
31,100,217.612761
29,100,222.947335
28,100,228.738905
33,100,234.181068
22,100,239.982568
34,100,245.424717
36,100,251.173538
27,100,256.544508
28,100,262.297265
31,100,267.724728
25,100,273.380053
29,100,278.778171
30,100,284.595316
31,100,290.01862
28,100,295.788076
28,100,301.198657
25,100,306.889256
36,100,312.241158
28,100,317.91304
31,100,323.294856
28,100,329.002862
33,100,334.419141
29,100,340.13172
31,100,345.462656
28,100,351.178749
32,100,356.548775
30,100,362.315523
27,100,367.835955
30,100,373.662903
32,100,379.120984
33,100,384.923643
35,100,390.318685
26,100,396.069747
41,100,401.475844
37,100,407.191348
30,100,412.568393
26,100,418.284562
37,100,423.67978
26,100,429.429542
34,100,434.819558
30,100,440.612314
32,100,446.02361
28,100,451.81361
34,100,457.285508
34,100,463.074714
30,100,468.509685
31,100,474.234042
44,100,479.602245
23,100,485.396301
31,100,490.783179
29,100,496.579293
30,100,501.995753
35,100,507.940407
26,100,513.41237
38,100,519.145426
39,100,524.494054
32,100,530.268568
39,100,535.673802
34,100,541.357574
30,100,546.781429
34,100,552.5157
34,100,557.864818
30,100,563.522935
39,100,568.854639
32,100,574.554081
34,100,579.850714
30,100,585.539184
30,100,590.940185
33,100,596.718353
31,100,602.095474
26,100,607.798112
29,100,613.216856
36,100,618.922921
34,100,624.255616
30,100,630.000436
43,100,635.358846
33,100,640.987353
31,100,646.348127
31,100,652.068839
44,100,657.447487
30,100,663.315694
29,100,668.710396
27,100,674.456854
40,100,679.844264
31,100,685.597868
32,100,690.99565
34,100,696.792599
36,100,702.161769
28,100,707.886504
31,100,713.240355
31,100,718.955845
32,100,724.364155
37,100,730.12459
33,100,735.556162
31,100,741.252459
33,100,746.574586
31,100,752.22577
29,100,757.596752
29,100,763.350359
28,100,768.717323
32,100,774.4577
43,100,779.859268
33,100,785.547187
32,100,790.877492
34,100,796.532976
30,100,801.839717
35,100,807.602172
38,100,812.990311
33,100,818.75994
25,100,824.173454
33,100,829.875097
33,100,835.226303
37,100,840.946752
20,100,846.280973
39,100,852.054319
34,100,857.45956
38,100,863.236062
30,100,868.598886
33,100,874.276829
35,100,879.556199
39,100,885.139964
36,100,890.462862
31,100,896.163471
34,100,901.517291
39,100,907.213145
38,100,912.549208
35,100,918.278999
32,100,923.585729
37,100,929.30541
39,100,934.655835
38,100,940.355018
30,100,945.686965
31,100,951.383594
34,100,956.727966
41,100,962.358552
35,100,967.654209
35,100,973.317972
17,100,978.651974
31,100,984.346679
31,100,989.657839
32,100,995.438349
39,100,1000.72288
31,100,1006.39682
33,100,1011.703461
31,100,1017.430668
34,100,1022.813456
26,100,1028.507805
34,100,1033.810098
29,100,1039.432211
33,100,1044.718417
49,100,1050.36492
30,100,1055.687015
35,100,1061.416816
31,100,1066.714765
30,100,1072.327472
24,100,1077.583506
21,100,1083.190052
31,100,1088.47711
33,100,1094.091173
39,100,1099.384275
32,100,1105.008412
31,100,1110.336235
41,100,1115.99621
35,100,1121.271188
32,100,1127.092645
29,100,1132.524648
32,100,1138.31223
34,100,1143.549233
39,100,1149.166968
32,100,1154.44164
36,100,1160.165746
39,100,1165.418931
31,100,1171.077362
41,100,1176.333882
23,100,1181.936921
34,100,1187.174856
33,100,1192.836561
36,100,1198.110919
38,100,1203.718037
