#{"t_start": 1617908667.7039478, "env_id": "Warehouse-v0"}
r,l,t
5,100,16.527414
15,100,21.918735
10,100,27.66145
14,100,33.102696
16,100,38.789173
21,100,44.152384
14,100,49.939295
15,100,55.354481
18,100,61.069726
17,100,66.498647
17,100,72.190149
19,100,77.54888
28,100,83.297009
19,100,88.662612
25,100,94.421529
25,100,99.767053
17,100,105.473843
33,100,110.849459
23,100,116.583396
29,100,121.943792
24,100,127.71836
23,100,133.129132
20,100,138.911391
32,100,144.254744
29,100,149.982048
32,100,155.422956
29,100,161.120168
30,100,166.506288
32,100,172.235872
23,100,177.584505
42,100,183.281894
29,100,188.607465
27,100,194.478003
22,100,199.953272
25,100,205.871905
31,100,211.340906
21,100,217.090681
28,100,222.42655
30,100,228.213761
25,100,233.661752
28,100,239.460923
22,100,244.903988
31,100,250.648958
25,100,256.013885
32,100,261.775285
23,100,267.203071
31,100,272.858054
30,100,278.256573
31,100,284.07468
34,100,289.490198
24,100,295.266039
32,100,300.677919
30,100,306.367411
24,100,311.718562
28,100,317.392905
20,100,322.775497
30,100,328.481555
29,100,333.898761
23,100,339.604268
36,100,344.941932
37,100,350.653652
34,100,356.027659
33,100,361.794465
30,100,367.31446
38,100,373.14303
34,100,378.601119
24,100,384.403245
33,100,389.794627
28,100,395.548665
29,100,400.953424
32,100,406.671237
31,100,412.046688
39,100,417.761191
33,100,423.160748
30,100,428.906859
32,100,434.298234
29,100,440.09034
35,100,445.502527
41,100,451.289386
25,100,456.761841
30,100,462.550221
13,100,467.99032
29,100,473.716267
33,100,479.082409
34,100,484.873592
33,100,490.263987
38,100,496.055809
29,100,501.474971
29,100,507.415339
38,100,512.88371
29,100,518.624498
29,100,523.970848
32,100,529.747329
37,100,535.152219
33,100,540.835574
28,100,546.260643
35,100,551.992694
37,100,557.343953
25,100,562.994007
34,100,568.332471
34,100,574.035268
30,100,579.324892
41,100,585.013466
29,100,590.413537
34,100,596.197966
30,100,601.569575
36,100,607.278762
29,100,612.696217
21,100,618.401338
31,100,623.730974
32,100,629.478886
30,100,634.838531
31,100,640.464837
39,100,645.827165
32,100,651.541638
33,100,656.928149
28,100,662.790865
31,100,668.185533
43,100,673.931777
36,100,679.323165
32,100,685.076554
38,100,690.473356
39,100,696.273338
27,100,701.639887
43,100,707.361619
34,100,712.717557
33,100,718.431394
35,100,723.840846
32,100,729.605036
33,100,735.035254
29,100,740.731128
34,100,746.053592
36,100,751.708513
36,100,757.074813
33,100,762.827848
32,100,768.19614
33,100,773.930323
36,100,779.337243
40,100,785.025304
37,100,790.356924
32,100,796.00455
37,100,801.316976
32,100,807.081075
40,100,812.469765
35,100,818.240194
36,100,823.653332
25,100,829.354723
25,100,834.704571
39,100,840.424914
34,100,845.759087
41,100,851.533837
32,100,856.937168
30,100,862.710297
36,100,868.07815
36,100,873.75734
37,100,879.031415
34,100,884.618545
29,100,889.946119
29,100,895.641891
34,100,900.994963
28,100,906.692043
16,100,912.027595
29,100,917.752918
24,100,923.06576
30,100,928.783988
30,100,934.134562
28,100,939.83356
27,100,945.165404
36,100,950.854548
30,100,956.207891
45,100,961.835497
36,100,967.128146
