#{"t_start": 1617702187.5673566, "env_id": "Warehouse-v0"}
r,l,t
13,100,12.961974
17,100,14.920466
9,100,16.967153
4,100,18.905066
16,100,21.006073
14,100,22.931771
9,100,24.966862
18,100,26.889022
9,100,28.914875
10,100,30.837466
13,100,32.897034
25,100,34.789158
11,100,36.810241
12,100,38.736193
18,100,40.768129
19,100,42.69126
17,100,44.839795
27,100,46.804897
21,100,48.846175
12,100,50.738599
23,100,52.787607
22,100,54.753978
22,100,56.834915
21,100,58.747608
21,100,60.782968
24,100,62.689881
16,100,64.735455
18,100,66.649301
24,100,68.689728
25,100,70.639667
27,100,72.680958
11,100,74.633934
20,100,76.683869
21,100,78.615346
18,100,80.653773
17,100,82.556117
19,100,84.598863
20,100,86.521481
26,100,88.530309
24,100,90.42451
18,100,92.471997
25,100,94.379299
23,100,96.383281
29,100,98.279832
26,100,100.307721
22,100,102.179724
21,100,104.225801
37,100,106.122598
34,100,108.160184
29,100,110.092503
33,100,112.107949
26,100,114.044582
24,100,116.097087
18,100,118.034016
14,100,120.096735
31,100,121.987536
27,100,123.973036
21,100,125.894014
23,100,127.909441
29,100,129.818225
30,100,131.839295
30,100,133.776041
37,100,135.826095
35,100,137.741514
34,100,139.765924
19,100,141.677761
30,100,143.728401
30,100,145.645467
31,100,147.713157
24,100,149.639309
29,100,151.761411
20,100,153.689851
26,100,155.765044
28,100,157.6982
28,100,159.731414
28,100,161.630972
23,100,163.65534
31,100,165.565218
31,100,167.58811
32,100,169.497231
29,100,171.510834
31,100,173.404128
33,100,175.444066
25,100,177.320901
29,100,179.332944
23,100,181.23993
39,100,183.257985
30,100,185.183868
28,100,187.208707
30,100,189.09585
28,100,191.104637
24,100,193.008848
21,100,195.015169
36,100,196.918942
33,100,198.914365
24,100,200.807267
35,100,202.811235
35,100,204.694685
36,100,206.708237
22,100,208.628105
34,100,210.636755
25,100,212.604831
27,100,214.652415
44,100,216.561892
32,100,218.577793
29,100,220.528597
25,100,222.59991
