#{"t_start": 1617895110.4569292, "env_id": "Warehouse-v0"}
r,l,t
13,100,8.696861
5,100,14.160252
17,100,20.040712
26,100,25.518647
19,100,31.390428
26,100,36.896705
23,100,42.733274
27,100,48.361703
25,100,54.345511
30,100,59.913639
24,100,65.744772
25,100,71.252061
21,100,77.155527
33,100,82.700179
25,100,88.553602
27,100,94.037223
25,100,99.926272
20,100,105.458638
30,100,111.375486
35,100,116.927781
24,100,122.812613
31,100,128.268112
30,100,134.162133
30,100,139.670983
37,100,145.611588
26,100,151.173854
35,100,157.037783
30,100,162.547736
24,100,168.506202
28,100,174.078319
34,100,179.97328
32,100,185.517273
36,100,191.471062
37,100,197.064068
33,100,202.980164
33,100,208.524177
38,100,214.394629
30,100,219.902125
28,100,225.720576
27,100,231.292457
33,100,237.195171
37,100,242.753006
34,100,248.567898
31,100,254.032167
41,100,259.922023
31,100,265.57419
38,100,271.543301
29,100,277.060088
41,100,282.908715
34,100,288.372178
30,100,294.246462
34,100,299.784643
34,100,305.711946
35,100,311.170755
36,100,317.040112
43,100,322.52374
32,100,328.339481
33,100,333.843346
35,100,339.708415
41,100,345.224155
37,100,351.126646
34,100,356.744879
35,100,362.708315
34,100,368.291507
39,100,374.156735
37,100,379.646177
37,100,385.452084
31,100,390.880535
39,100,396.753198
41,100,402.209698
32,100,408.101655
44,100,413.61594
39,100,419.435858
36,100,424.878627
33,100,430.707083
38,100,436.227366
37,100,442.067776
38,100,447.503728
38,100,453.316428
36,100,458.740743
24,100,464.551167
35,100,470.004986
31,100,475.861965
38,100,481.306011
35,100,487.13728
27,100,492.541515
34,100,498.408745
37,100,503.864419
47,100,509.714183
38,100,515.210382
31,100,521.065371
29,100,526.559276
33,100,532.338322
34,100,537.849448
35,100,543.659674
31,100,549.097179
37,100,554.926941
34,100,560.451989
37,100,566.310608
35,100,571.903491
41,100,577.688986
43,100,583.141228
37,100,588.943194
37,100,594.400975
46,100,600.314159
34,100,605.785278
32,100,611.564834
40,100,617.038262
31,100,622.888601
32,100,628.335512
28,100,634.141272
35,100,639.589659
48,100,645.411928
42,100,650.901371
37,100,656.724236
38,100,662.169421
38,100,668.057665
38,100,673.574278
30,100,679.543772
40,100,684.999036
35,100,690.83613
41,100,696.324123
42,100,702.152524
28,100,707.588377
27,100,713.397079
40,100,718.849147
32,100,724.656291
36,100,730.091416
37,100,735.920684
40,100,741.368737
32,100,747.170491
36,100,752.59477
41,100,758.429034
40,100,763.932418
38,100,769.761623
40,100,775.222392
38,100,781.038766
40,100,786.490247
31,100,792.300631
34,100,797.755691
40,100,803.64078
38,100,809.094357
33,100,814.87306
40,100,820.266635
39,100,826.093118
32,100,831.621646
33,100,837.547017
41,100,843.006075
34,100,848.806706
41,100,854.258888
40,100,860.085608
37,100,865.537892
33,100,871.372725
40,100,876.911181
34,100,882.73458
37,100,888.170477
37,100,893.981133
35,100,899.477109
37,100,905.287632
36,100,910.741513
39,100,916.587964
30,100,922.063889
28,100,927.903091
35,100,933.368299
42,100,939.146153
36,100,944.601552
25,100,950.429666
34,100,955.907193
28,100,961.741631
32,100,967.197469
36,100,972.991553
35,100,978.493916
34,100,984.455192
30,100,990.10422
31,100,995.93882
35,100,1001.457345
32,100,1007.37623
41,100,1012.842298
43,100,1018.674003
42,100,1024.124952
35,100,1029.932942
34,100,1035.450508
41,100,1041.265746
36,100,1046.700073
38,100,1052.515478
40,100,1057.938759
40,100,1063.733046
43,100,1069.205174
40,100,1075.037942
37,100,1080.502044
46,100,1086.324425
38,100,1091.787229
40,100,1097.608755
28,100,1103.07048
29,100,1108.856285
38,100,1114.293218
41,100,1120.090307
43,100,1125.573652
33,100,1131.49104
39,100,1136.973196
37,100,1142.784894
37,100,1148.25197
37,100,1153.998163
38,100,1159.515784
39,100,1165.40011
36,100,1170.870239
29,100,1176.672559
33,100,1182.145245
40,100,1188.004902
31,100,1193.464432
37,100,1199.357294
42,100,1204.824732
43,100,1210.620507
31,100,1216.064489
48,100,1221.917638
38,100,1227.369461
40,100,1233.21429
41,100,1238.674062
35,100,1244.513725
44,100,1250.078921
36,100,1255.958704
37,100,1261.416388
39,100,1267.28587
40,100,1272.731723
40,100,1278.592654
39,100,1284.011832
32,100,1289.785443
36,100,1295.409656
42,100,1301.311935
37,100,1306.768034
36,100,1312.590464
44,100,1318.081238
30,100,1323.948045
36,100,1329.525617
35,100,1335.336769
31,100,1340.836242
31,100,1346.675833
36,100,1352.103871
34,100,1357.945899
35,100,1363.326271
32,100,1369.104607
38,100,1374.577105
42,100,1380.365235
38,100,1385.767399
36,100,1391.605548
42,100,1397.051614
34,100,1402.890434
38,100,1408.348963
36,100,1414.209265
44,100,1419.640607
34,100,1425.449347
43,100,1430.976671
37,100,1436.783634
40,100,1442.186669
35,100,1447.958045
31,100,1453.438243
29,100,1459.311682
33,100,1464.763114
34,100,1470.53907
44,100,1475.922086
28,100,1481.703907
36,100,1487.243697
30,100,1493.136565
37,100,1498.634874
41,100,1504.425257
33,100,1509.79765
39,100,1515.580644
31,100,1521.05764
32,100,1526.852298
36,100,1532.318169
42,100,1538.104839
42,100,1543.541628
37,100,1549.342631
27,100,1554.823635
38,100,1560.658175
35,100,1566.128207
47,100,1571.951758
41,100,1577.432622
37,100,1583.245185
27,100,1588.690647
33,100,1594.562086
37,100,1599.959187
27,100,1605.896544
39,100,1611.470243
39,100,1617.300034
29,100,1622.722218
36,100,1628.539649
32,100,1633.956329
35,100,1639.873028
36,100,1645.340669
35,100,1651.188787
24,100,1656.699175
30,100,1662.561203
29,100,1668.033782
37,100,1673.844431
38,100,1679.307031
35,100,1685.173379
33,100,1690.614626
28,100,1696.466146
39,100,1701.893157
34,100,1707.679789
27,100,1713.092859
24,100,1718.905421
46,100,1724.377851
37,100,1730.293968
42,100,1735.794763
32,100,1741.628064
49,100,1747.048594
13,100,1752.863817
36,100,1758.307192
45,100,1764.166678
40,100,1769.599524
37,100,1775.41824
35,100,1780.841342
37,100,1786.629631
45,100,1792.152466
46,100,1798.107834
34,100,1803.570713
42,100,1809.358983
34,100,1814.885585
46,100,1820.799769
38,100,1826.325127
33,100,1832.14963
40,100,1837.591588
27,100,1843.409594
42,100,1848.866612
45,100,1854.704121
38,100,1860.216949
33,100,1866.022545
38,100,1871.459463
35,100,1877.261181
30,100,1882.722943
37,100,1888.538291
43,100,1894.006327
33,100,1899.840239
26,100,1905.269466
45,100,1911.082418
39,100,1916.700875
36,100,1922.562126
35,100,1928.02672
38,100,1933.830222
32,100,1939.253891
38,100,1945.056371
37,100,1950.467587
33,100,1956.334721
33,100,1961.763205
30,100,1967.595356
39,100,1973.040995
46,100,1978.910623
37,100,1984.394336
40,100,1990.185922
41,100,1995.607447
37,100,2001.464294
27,100,2006.865689
45,100,2012.658294
35,100,2018.082151
18,100,2023.910327
39,100,2029.422102
32,100,2035.233463
35,100,2040.652552
36,100,2046.447819
32,100,2051.899009
43,100,2057.771229
38,100,2063.236524
38,100,2069.037188
37,100,2074.473517
40,100,2080.218023
33,100,2085.661277
35,100,2091.420103
37,100,2096.975201
29,100,2102.798021
42,100,2108.180621
45,100,2113.990817
41,100,2119.475096
50,100,2125.246234
39,100,2130.662828
44,100,2136.429227
35,100,2141.876176
48,100,2147.698474
37,100,2153.173298
40,100,2159.01597
28,100,2164.413215
31,100,2170.186769
41,100,2175.591359
41,100,2181.460409
28,100,2186.896155
31,100,2192.701651
42,100,2198.114768
25,100,2203.902175
42,100,2209.327608
42,100,2215.166001
30,100,2220.626712
35,100,2226.559121
42,100,2232.02203
39,100,2237.875091
22,100,2243.353489
35,100,2249.171654
35,100,2254.621186
24,100,2260.402672
31,100,2265.808836
33,100,2271.679569
44,100,2277.11029
34,100,2282.924684
31,100,2288.37911
37,100,2294.163025
37,100,2299.644347
40,100,2305.483093
39,100,2310.888412
29,100,2316.705896
