#{"t_start": 1617895110.5092509, "env_id": "Warehouse-v0"}
r,l,t
13,100,8.647718
11,100,14.109671
14,100,19.983637
15,100,25.467888
26,100,31.338236
21,100,36.847112
23,100,42.686002
29,100,48.313378
17,100,54.293911
28,100,59.86397
29,100,65.695675
22,100,71.196442
30,100,77.105086
32,100,82.644093
34,100,88.499019
27,100,93.981392
28,100,99.879909
28,100,105.409894
21,100,111.324901
19,100,116.879188
26,100,122.765891
32,100,128.216581
34,100,134.106756
30,100,139.622215
40,100,145.562531
26,100,151.124135
17,100,156.986663
30,100,162.497896
25,100,168.456465
41,100,174.024786
28,100,179.923591
34,100,185.467471
33,100,191.421492
35,100,197.010132
28,100,202.933506
32,100,208.474243
33,100,214.346891
37,100,219.852278
29,100,225.670982
29,100,231.244641
35,100,237.147161
32,100,242.703749
32,100,248.518067
31,100,253.982734
34,100,259.870449
28,100,265.521837
32,100,271.494115
33,100,277.003061
34,100,282.849412
36,100,288.324381
30,100,294.196651
29,100,299.734972
39,100,305.662056
36,100,311.123221
33,100,316.990999
37,100,322.473815
42,100,328.289702
33,100,333.797423
37,100,339.665621
38,100,345.177298
34,100,351.079292
28,100,356.695248
34,100,362.661599
29,100,368.241793
34,100,374.099691
39,100,379.591209
30,100,385.40589
34,100,390.830869
40,100,396.696912
34,100,402.156816
28,100,408.048799
36,100,413.565213
45,100,419.387402
35,100,424.827097
29,100,430.657863
41,100,436.178256
27,100,442.014981
33,100,447.453894
32,100,453.26585
30,100,458.689725
32,100,464.494578
41,100,469.945073
27,100,475.811517
39,100,481.254589
41,100,487.084476
32,100,492.488435
33,100,498.36089
30,100,503.814538
38,100,509.664623
35,100,515.156926
38,100,521.015665
37,100,526.507664
29,100,532.288703
45,100,537.801428
41,100,543.601624
41,100,549.047434
38,100,554.880915
33,100,560.40057
34,100,566.261232
37,100,571.8524
38,100,577.639399
26,100,583.092736
41,100,588.89184
47,100,594.351231
44,100,600.263689
36,100,605.732569
36,100,611.514241
27,100,616.98403
28,100,622.837795
29,100,628.280561
26,100,634.091628
28,100,639.540889
30,100,645.360336
40,100,650.85078
30,100,656.674496
42,100,662.122606
35,100,668.009714
33,100,673.524444
42,100,679.497874
