#{"t_start": 1617895110.6375947, "env_id": "Warehouse-v0"}
r,l,t
10,100,8.515341
18,100,13.984708
22,100,19.856041
17,100,25.344846
24,100,31.213408
26,100,36.721667
20,100,42.550439
19,100,48.186628
37,100,54.167761
25,100,59.739172
24,100,65.568174
25,100,71.071653
33,100,76.980819
21,100,82.518864
25,100,88.37322
38,100,93.854966
28,100,99.749607
37,100,105.283211
18,100,111.200351
28,100,116.748489
29,100,122.634838
28,100,128.088237
27,100,133.980926
24,100,139.499076
31,100,145.43605
30,100,150.997614
27,100,156.860955
37,100,162.372783
31,100,168.331501
33,100,173.901995
33,100,179.798657
33,100,185.345122
29,100,191.291461
35,100,196.88256
39,100,202.804084
35,100,208.348748
36,100,214.222723
22,100,219.726517
23,100,225.546526
33,100,231.119282
31,100,237.018529
35,100,242.577813
26,100,248.393052
34,100,253.853252
36,100,259.741205
34,100,265.38429
36,100,271.368521
32,100,276.87838
30,100,282.724774
35,100,288.19655
27,100,294.070362
26,100,299.608429
34,100,305.537498
43,100,310.992942
34,100,316.860276
36,100,322.349038
34,100,328.163911
34,100,333.668001
29,100,339.525053
39,100,345.045738
29,100,350.949954
38,100,356.569488
32,100,362.532747
43,100,368.11675
33,100,373.973741
31,100,379.466859
28,100,385.275373
33,100,390.705806
39,100,396.570485
38,100,402.033521
36,100,407.925352
32,100,413.439422
29,100,419.257025
29,100,424.701218
44,100,430.529951
39,100,436.053181
31,100,441.890046
38,100,447.327893
38,100,453.138525
34,100,458.565083
34,100,464.369434
37,100,469.820958
37,100,475.686896
44,100,481.128659
40,100,486.949149
37,100,492.363596
37,100,498.233443
23,100,503.687967
37,100,509.539645
31,100,515.032728
36,100,520.889641
37,100,526.381503
44,100,532.16296
38,100,537.670711
31,100,543.478274
31,100,548.920513
35,100,554.751118
34,100,560.275835
26,100,566.135846
39,100,571.720058
43,100,577.514443
38,100,582.965989
34,100,588.76039
45,100,594.226199
39,100,600.13894
37,100,605.60801
36,100,611.389321
28,100,616.859229
35,100,622.702234
30,100,628.15804
34,100,633.966496
41,100,639.410999
39,100,645.234134
34,100,650.72416
34,100,656.547012
35,100,661.992398
35,100,667.884025
37,100,673.398812
26,100,679.365549
34,100,684.822018
40,100,690.661573
25,100,696.139711
37,100,701.975232
28,100,707.413111
42,100,713.215353
41,100,718.673311
41,100,724.478492
37,100,729.914864
35,100,735.745008
37,100,741.189576
37,100,746.9945
39,100,752.419825
39,100,758.253398
34,100,763.753367
37,100,769.58308
34,100,775.04295
25,100,780.861676
41,100,786.314054
35,100,792.12301
40,100,797.580057
34,100,803.458236
31,100,808.915686
34,100,814.697615
32,100,820.084482
40,100,825.916415
41,100,831.44149
36,100,837.366539
36,100,842.827816
48,100,848.627582
38,100,854.083505
32,100,859.907665
34,100,865.360019
42,100,871.195542
41,100,876.736357
35,100,882.559774
41,100,887.988316
34,100,893.806237
42,100,899.300015
40,100,905.10941
38,100,910.566248
34,100,916.413126
41,100,921.887629
26,100,927.724343
40,100,933.192353
39,100,938.962514
43,100,944.426101
42,100,950.253305
33,100,955.731183
36,100,961.564592
46,100,967.022305
28,100,972.81732
32,100,978.319335
43,100,984.280746
40,100,989.926502
42,100,995.758245
38,100,1001.283653
33,100,1007.194231
38,100,1012.667376
40,100,1018.497647
37,100,1023.949558
41,100,1029.760654
29,100,1035.271923
36,100,1041.087298
34,100,1046.525096
26,100,1052.336954
38,100,1057.762465
28,100,1063.557482
46,100,1069.030445
39,100,1074.860913
30,100,1080.326024
38,100,1086.147978
32,100,1091.611537
36,100,1097.433878
33,100,1102.893999
38,100,1108.680025
40,100,1114.116928
41,100,1119.915559
46,100,1125.396121
33,100,1131.314973
28,100,1136.795328
33,100,1142.608381
37,100,1148.069683
32,100,1153.823048
29,100,1159.340359
42,100,1165.224511
29,100,1170.692281
42,100,1176.494913
38,100,1181.968941
40,100,1187.823559
46,100,1193.287426
35,100,1199.183335
42,100,1204.649201
44,100,1210.44137
35,100,1215.888405
38,100,1221.73404
33,100,1227.194167
37,100,1233.03903
39,100,1238.496388
36,100,1244.338951
32,100,1249.904404
40,100,1255.782083
41,100,1261.240383
37,100,1267.10721
39,100,1272.549772
44,100,1278.414198
33,100,1283.835881
34,100,1289.611058
39,100,1295.235279
42,100,1301.13598
35,100,1306.591491
31,100,1312.415483
36,100,1317.902861
41,100,1323.773313
47,100,1329.350177
42,100,1335.161294
36,100,1340.660806
32,100,1346.50039
