#{"t_start": 1617895110.0490756, "env_id": "Warehouse-v0"}
r,l,t
15,100,9.094951
14,100,14.559904
13,100,20.434594
18,100,25.920804
22,100,31.790636
23,100,37.296246
24,100,43.137153
21,100,48.762471
27,100,54.744054
30,100,60.312678
22,100,66.143117
23,100,71.648609
22,100,77.549037
32,100,83.100272
36,100,88.956038
30,100,94.4341
34,100,100.327081
20,100,105.861477
32,100,111.775225
25,100,117.326062
28,100,123.216197
22,100,128.665551
32,100,134.562779
34,100,140.071458
33,100,146.013443
32,100,151.574025
32,100,157.436283
36,100,162.947471
37,100,168.906187
27,100,174.47733
42,100,180.372789
28,100,185.929592
38,100,191.869677
35,100,197.458591
32,100,203.382917
26,100,208.925343
26,100,214.794857
33,100,220.301805
37,100,226.122681
38,100,231.694988
37,100,237.598382
41,100,243.1532
33,100,248.9696
31,100,254.436143
29,100,260.316341
38,100,265.969763
42,100,271.942811
41,100,277.453863
41,100,283.307074
25,100,288.772425
39,100,294.64632
47,100,300.18414
32,100,306.112825
38,100,311.570791
30,100,317.443152
39,100,322.924301
35,100,328.739707
43,100,334.246002
35,100,340.107645
33,100,345.624304
33,100,351.526562
29,100,357.144835
22,100,363.109229
27,100,368.691594
29,100,374.552864
32,100,380.044984
37,100,385.8535
41,100,391.28006
38,100,397.148241
39,100,402.611946
36,100,408.501583
38,100,414.015336
34,100,419.836608
41,100,425.277357
35,100,431.105052
38,100,436.628234
37,100,442.468083
36,100,447.904141
34,100,453.716411
30,100,459.140314
36,100,464.949202
38,100,470.398419
36,100,476.260828
45,100,481.705336
31,100,487.544331
30,100,492.941841
29,100,498.808749
41,100,504.263986
38,100,510.113531
26,100,515.610292
38,100,521.46515
37,100,526.958561
29,100,532.738572
37,100,538.249199
38,100,544.058244
33,100,549.497145
36,100,555.327687
33,100,560.850631
31,100,566.709611
49,100,572.301234
38,100,578.089571
32,100,583.541848
34,100,589.338862
37,100,594.800462
23,100,600.713454
28,100,606.183821
31,100,611.964625
38,100,617.43723
34,100,623.284615
36,100,628.733237
39,100,634.540599
42,100,639.989206
29,100,645.815057
30,100,651.30056
38,100,657.124108
31,100,662.56967
38,100,668.459463
46,100,673.974857
36,100,679.944707
34,100,685.397304
35,100,691.241544
