#{"t_start": 1617895109.9346344, "env_id": "Warehouse-v0"}
r,l,t
10,100,9.213795
21,100,14.678625
16,100,20.557495
14,100,26.039326
22,100,31.908988
31,100,37.415869
20,100,43.264688
22,100,48.882948
21,100,54.863
27,100,60.432197
20,100,66.262841
31,100,71.77276
30,100,77.670893
27,100,83.22253
20,100,89.072853
20,100,94.553023
21,100,100.446491
30,100,105.977008
15,100,111.893883
21,100,117.444192
22,100,123.33614
36,100,128.784397
29,100,134.68367
36,100,140.189205
23,100,146.131067
39,100,151.692757
34,100,157.555347
33,100,163.067406
34,100,169.024983
33,100,174.596426
25,100,180.491873
34,100,186.037248
35,100,191.988931
29,100,197.577435
36,100,203.504361
28,100,209.043165
29,100,214.914471
36,100,220.420981
31,100,226.237389
40,100,231.811783
33,100,237.726162
24,100,243.271905
26,100,249.087894
34,100,254.561867
31,100,260.43434
31,100,266.086542
40,100,272.062043
35,100,277.572476
29,100,283.43353
33,100,288.890987
35,100,294.76518
47,100,300.303327
35,100,306.2308
24,100,311.690137
33,100,317.563236
34,100,323.043911
33,100,328.858414
36,100,334.365146
36,100,340.226518
32,100,345.743255
39,100,351.644632
36,100,357.263655
39,100,363.231116
34,100,368.810379
23,100,374.671752
34,100,380.164017
33,100,385.973623
29,100,391.399282
35,100,397.267653
41,100,402.731067
36,100,408.620495
31,100,414.1342
32,100,419.954487
39,100,425.395367
39,100,431.225803
37,100,436.747007
38,100,442.58783
30,100,448.022578
37,100,453.835219
38,100,459.259205
30,100,465.070406
39,100,470.517261
35,100,476.379929
35,100,481.824295
41,100,487.653679
46,100,493.060739
42,100,498.927573
27,100,504.383081
36,100,510.233587
38,100,515.728899
39,100,521.584227
36,100,527.077307
39,100,532.856526
40,100,538.36823
27,100,544.1803
45,100,549.616005
41,100,555.44595
27,100,560.97016
39,100,566.828355
35,100,572.418417
33,100,578.208822
35,100,583.660412
38,100,589.458045
38,100,594.91962
34,100,600.83131
38,100,606.303241
33,100,612.083025
35,100,617.55761
35,100,623.409198
37,100,628.851812
38,100,634.660034
42,100,640.106055
45,100,645.935484
36,100,651.419344
38,100,657.243019
38,100,662.689087
41,100,668.582768
34,100,674.091698
44,100,680.062352
28,100,685.516544
30,100,691.368932
32,100,696.839467
46,100,702.670397
35,100,708.107222
32,100,713.914647
45,100,719.367319
39,100,725.175673
41,100,730.610811
37,100,736.439003
43,100,741.88746
30,100,747.69176
32,100,753.113028
39,100,758.948678
41,100,764.44778
39,100,770.278521
34,100,775.740577
30,100,781.562883
36,100,787.008712
38,100,792.819041
32,100,798.273841
37,100,804.154321
32,100,809.611333
46,100,815.391856
35,100,820.78149
42,100,826.610051
30,100,832.137597
40,100,838.065007
