#{"t_start": 1617895109.9705577, "env_id": "Warehouse-v0"}
r,l,t
12,100,9.174433
6,100,14.639323
19,100,20.515098
19,100,26.000244
15,100,31.870024
19,100,37.376739
24,100,43.220071
24,100,48.842716
24,100,54.824377
31,100,60.393234
22,100,66.22381
26,100,71.728011
20,100,77.629105
26,100,83.182046
27,100,89.045143
27,100,94.513527
30,100,100.407689
28,100,105.952536
26,100,111.85551
23,100,117.407084
25,100,123.294765
28,100,128.745569
29,100,134.651686
26,100,140.152526
34,100,146.101053
36,100,151.654245
33,100,157.515986
20,100,163.027985
30,100,168.986482
36,100,174.55758
32,100,180.45309
29,100,186.00958
24,100,191.949912
30,100,197.53887
33,100,203.462483
29,100,209.002947
30,100,214.875047
38,100,220.381253
29,100,226.205766
34,100,231.782578
27,100,237.677457
32,100,243.23365
39,100,249.04968
28,100,254.517016
34,100,260.397345
37,100,266.057437
35,100,272.023187
27,100,277.535516
40,100,283.38654
37,100,288.851837
36,100,294.726606
27,100,300.264604
36,100,306.192857
29,100,311.651069
32,100,317.523666
42,100,323.005347
41,100,328.819997
24,100,334.325546
31,100,340.187985
41,100,345.703697
30,100,351.606081
33,100,357.224225
28,100,363.188651
33,100,368.771846
36,100,374.633148
36,100,380.124618
34,100,385.932919
32,100,391.360433
39,100,397.228745
29,100,402.692031
35,100,408.580996
32,100,414.0957
35,100,419.915241
37,100,425.357156
34,100,431.185403
32,100,436.708495
36,100,442.548136
28,100,447.984464
28,100,453.795851
35,100,459.220571
34,100,465.030021
36,100,470.479059
28,100,476.341244
39,100,481.785697
46,100,487.615427
29,100,493.021393
37,100,498.88901
33,100,504.343467
36,100,510.194143
33,100,515.690521
39,100,521.545689
34,100,527.038816
36,100,532.821652
38,100,538.331594
32,100,544.147624
25,100,549.577518
37,100,555.407766
30,100,560.931318
31,100,566.789858
32,100,572.391544
34,100,578.168974
38,100,583.623439
36,100,589.419364
44,100,594.880838
45,100,600.794508
35,100,606.264789
38,100,612.045417
42,100,617.518754
40,100,623.365067
32,100,628.81288
37,100,634.621105
39,100,640.077555
36,100,645.89525
39,100,651.381461
50,100,657.204497
37,100,662.649154
42,100,668.53973
29,100,674.060142
38,100,680.031597
36,100,685.475891
37,100,691.329087
35,100,696.798929
34,100,702.630659
32,100,708.068543
33,100,713.8736
33,100,719.328793
33,100,725.136388
41,100,730.571208
39,100,736.399997
34,100,741.848441
28,100,747.652391
37,100,753.074324
36,100,758.910198
36,100,764.412233
36,100,770.239996
39,100,775.702071
29,100,781.523788
35,100,786.970783
35,100,792.779051
28,100,798.236091
32,100,804.116413
28,100,809.577333
37,100,815.352674
33,100,820.742891
32,100,826.570362
40,100,832.098443
35,100,838.025716
31,100,843.485113
32,100,849.288073
42,100,854.738912
44,100,860.564841
36,100,866.020682
35,100,871.852418
41,100,877.388536
44,100,883.214939
32,100,888.660605
43,100,894.46095
32,100,899.957113
34,100,905.768056
43,100,911.22046
33,100,917.068259
38,100,922.544001
32,100,928.380979
36,100,933.852419
36,100,939.621272
32,100,945.081819
37,100,950.916243
38,100,956.386591
25,100,962.218793
39,100,967.678869
36,100,973.477036
30,100,978.974533
38,100,984.935352
33,100,990.584865
40,100,996.416139
32,100,1001.939719
40,100,1007.855365
40,100,1013.322646
33,100,1019.154282
39,100,1024.603907
34,100,1030.41506
38,100,1035.930003
38,100,1041.744686
33,100,1047.180367
37,100,1052.994952
45,100,1058.418945
37,100,1064.213347
40,100,1069.685514
36,100,1075.5258
34,100,1080.983706
38,100,1086.803208
24,100,1092.267159
30,100,1098.089049
33,100,1103.54821
41,100,1109.337116
38,100,1114.786009
42,100,1120.571703
43,100,1126.059311
28,100,1131.970683
41,100,1137.453531
43,100,1143.2646
37,100,1148.741551
38,100,1154.479448
39,100,1159.995444
42,100,1165.896204
26,100,1171.34936
42,100,1177.151139
35,100,1182.623574
42,100,1188.492764
40,100,1193.943398
28,100,1199.836797
32,100,1205.304254
42,100,1211.100106
42,100,1216.543128
34,100,1222.393404
43,100,1227.852211
44,100,1233.694288
31,100,1239.153807
39,100,1244.995752
36,100,1250.558164
39,100,1256.437791
26,100,1261.89585
46,100,1267.765842
35,100,1273.208139
42,100,1279.082383
40,100,1284.490446
38,100,1290.26944
37,100,1295.899033
42,100,1301.793105
32,100,1307.253762
38,100,1313.070149
36,100,1318.549846
28,100,1324.428448
44,100,1330.004149
35,100,1335.815275
42,100,1341.31904
47,100,1347.1561
40,100,1352.584134
36,100,1358.424722
29,100,1363.807769
35,100,1369.586948
32,100,1375.058083
31,100,1380.843563
33,100,1386.247581
27,100,1392.086957
33,100,1397.531142
38,100,1403.370338
35,100,1408.841263
32,100,1414.689639
40,100,1420.11956
42,100,1425.929791
35,100,1431.45564
40,100,1437.267419
32,100,1442.667044
39,100,1448.438776
42,100,1453.917071
30,100,1459.7912
37,100,1465.243622
40,100,1471.020943
38,100,1476.402591
28,100,1482.183042
29,100,1487.721556
34,100,1493.619136
