#{"t_start": 1617871644.35139, "env_id": "Warehouse-v0"}
r,l,t
16,100,10.397223
17,100,17.550135
18,100,25.095857
27,100,32.056187
23,100,39.502177
19,100,46.463398
30,100,53.954227
27,100,61.02686
21,100,68.522642
30,100,75.455791
33,100,82.82439
30,100,89.825988
23,100,97.209536
24,100,104.148262
29,100,111.595255
28,100,118.576622
30,100,126.103976
34,100,133.159708
31,100,140.661912
25,100,147.729485
36,100,155.229254
29,100,162.246889
38,100,169.754706
24,100,176.7614
30,100,184.246266
38,100,191.285203
37,100,198.708054
24,100,205.803367
39,100,213.453071
33,100,220.501647
31,100,228.008616
25,100,235.015558
27,100,242.418578
32,100,249.440529
29,100,256.859008
29,100,263.840693
26,100,271.331453
34,100,278.321778
30,100,285.748193
33,100,292.806009
26,100,300.304938
40,100,307.353691
33,100,314.755458
30,100,321.743845
34,100,329.163889
24,100,336.138376
39,100,343.572238
37,100,350.503577
34,100,357.96227
38,100,364.910398
39,100,372.292458
37,100,379.335374
29,100,386.837329
29,100,393.833276
26,100,401.262476
39,100,408.239751
30,100,415.64682
30,100,422.648521
35,100,430.114812
37,100,437.053507
37,100,444.447275
30,100,451.423056
32,100,458.920292
37,100,465.904761
40,100,473.367043
33,100,480.346149
36,100,487.797911
27,100,494.755261
37,100,502.149311
34,100,509.138605
36,100,516.749981
32,100,523.891063
40,100,531.356484
44,100,538.362419
37,100,545.833948
33,100,552.796143
35,100,560.244713
30,100,567.19109
34,100,574.575942
28,100,581.498804
40,100,588.972978
34,100,595.974522
35,100,603.321669
34,100,610.27472
48,100,617.726863
33,100,624.761766
33,100,632.1865
27,100,639.195046
39,100,646.703244
40,100,653.743168
34,100,661.205232
39,100,668.160803
35,100,675.552107
36,100,682.543288
36,100,690.032867
33,100,697.02976
37,100,704.510951
41,100,711.563669
44,100,719.016651
40,100,726.002334
43,100,733.403266
33,100,740.396638
39,100,747.795188
38,100,754.796574
40,100,762.265247
36,100,769.265134
31,100,776.698559
44,100,783.6905
39,100,791.182822
41,100,798.124695
38,100,805.576069
41,100,812.546647
32,100,820.119417
35,100,827.293597
35,100,834.782883
36,100,841.788711
43,100,849.215648
41,100,856.22399
35,100,863.685423
40,100,870.802841
44,100,878.553318
44,100,885.78023
37,100,893.529222
43,100,900.750717
35,100,908.411596
30,100,915.668219
33,100,923.338026
35,100,930.477955
38,100,938.088002
44,100,945.348897
35,100,953.068074
45,100,960.301189
33,100,967.885965
40,100,975.043252
26,100,982.751116
39,100,989.891032
39,100,997.580922
38,100,1004.765997
39,100,1012.40649
38,100,1019.575791
39,100,1027.192873
33,100,1034.366208
37,100,1042.029107
31,100,1049.286381
37,100,1056.947029
33,100,1064.166947
38,100,1071.820431
34,100,1079.012697
35,100,1086.68633
51,100,1093.920046
41,100,1101.583475
36,100,1108.828979
44,100,1116.540734
43,100,1123.691849
33,100,1131.560233
41,100,1138.954444
37,100,1146.655485
36,100,1153.905358
34,100,1161.590788
27,100,1168.765685
38,100,1176.519401
32,100,1183.826605
26,100,1191.537668
38,100,1198.837168
38,100,1206.548995
36,100,1213.744914
35,100,1221.439218
36,100,1228.597399
40,100,1236.115559
36,100,1243.143891
39,100,1250.618432
25,100,1257.646893
45,100,1265.053866
33,100,1272.147601
33,100,1279.89964
33,100,1287.099691
31,100,1294.747213
49,100,1301.922843
35,100,1309.680495
36,100,1316.935147
37,100,1324.6264
35,100,1331.839896
34,100,1339.442716
37,100,1346.683881
46,100,1354.365136
39,100,1361.586902
36,100,1369.246971
39,100,1376.52132
34,100,1384.346982
36,100,1391.704692
32,100,1399.315722
33,100,1406.626402
28,100,1414.392519
40,100,1421.699336
34,100,1429.468953
47,100,1436.717061
33,100,1444.855968
40,100,1452.427508
36,100,1460.456496
44,100,1468.127674
33,100,1476.188658
34,100,1483.757144
45,100,1491.591101
42,100,1498.951013
34,100,1506.844429
36,100,1514.176455
44,100,1521.771589
40,100,1528.930101
41,100,1536.582195
38,100,1543.680506
35,100,1551.238608
36,100,1558.373213
29,100,1565.8157
37,100,1572.804053
40,100,1580.306437
41,100,1587.336762
34,100,1594.817298
30,100,1601.881137
42,100,1609.517305
40,100,1616.865379
37,100,1624.55016
34,100,1631.703621
36,100,1639.449762
35,100,1646.738248
32,100,1654.464151
46,100,1661.737677
35,100,1669.434467
33,100,1676.698861
34,100,1684.412772
28,100,1691.704421
42,100,1699.342854
35,100,1706.627569
30,100,1714.55032
30,100,1721.814509
44,100,1729.634539
33,100,1737.29174
39,100,1745.413719
42,100,1753.060661
52,100,1760.954551
29,100,1768.258687
42,100,1776.053708
33,100,1783.364112
30,100,1791.182719
30,100,1798.534936
30,100,1806.41618
36,100,1813.79223
42,100,1821.57543
46,100,1828.88213
41,100,1836.678791
40,100,1844.089311
39,100,1851.914429
38,100,1859.172837
37,100,1866.930756
37,100,1874.248779
41,100,1882.136911
39,100,1889.41778
46,100,1897.194786
23,100,1904.545971
39,100,1912.341207
35,100,1919.664041
38,100,1927.437491
24,100,1934.743691
34,100,1942.544276
37,100,1949.803129
41,100,1957.580626
36,100,1964.828964
33,100,1972.678003
33,100,1980.075216
39,100,1987.847108
35,100,1995.270472
49,100,2003.179659
40,100,2010.574611
46,100,2018.398799
40,100,2025.738108
38,100,2033.484753
43,100,2040.984935
37,100,2048.92941
36,100,2056.439245
34,100,2064.786781
32,100,2072.867344
36,100,2081.285254
41,100,2088.802869
32,100,2096.761446
40,100,2104.12853
45,100,2111.886244
35,100,2119.117994
37,100,2126.777257
39,100,2134.046249
41,100,2141.814493
38,100,2149.082961
34,100,2156.824306
45,100,2164.107869
42,100,2171.854616
30,100,2179.083719
34,100,2186.772966
41,100,2193.994682
31,100,2201.726712
40,100,2209.030109
32,100,2216.724016
35,100,2223.932335
37,100,2231.701075
35,100,2238.993863
31,100,2246.693177
38,100,2253.936942
43,100,2261.708672
37,100,2268.993112
38,100,2276.803859
41,100,2284.107566
47,100,2291.856993
27,100,2299.067253
35,100,2306.773715
43,100,2314.047695
36,100,2321.767738
45,100,2329.095547
30,100,2336.97648
39,100,2344.272936
45,100,2352.171416
38,100,2359.449751
43,100,2367.237526
42,100,2374.568416
35,100,2382.558364
37,100,2389.952269
32,100,2397.765931
38,100,2405.173169
42,100,2413.010392
38,100,2420.242498
40,100,2428.268999
39,100,2435.828408
35,100,2443.817546
39,100,2451.008947
35,100,2458.795375
44,100,2465.896716
41,100,2473.411931
31,100,2480.407334
36,100,2487.88772
30,100,2494.962878
36,100,2502.483165
32,100,2509.554458
35,100,2517.016924
39,100,2524.114551
36,100,2531.748189
44,100,2539.005904
39,100,2546.712319
39,100,2553.879894
32,100,2561.362134
43,100,2568.529409
30,100,2576.050795
34,100,2583.117905
38,100,2590.681335
36,100,2598.020433
25,100,2605.745284
44,100,2613.004886
38,100,2620.77388
30,100,2627.995632
38,100,2635.730794
41,100,2642.719648
41,100,2650.188556
36,100,2657.528558
35,100,2665.273607
39,100,2672.559024
36,100,2680.15195
37,100,2687.407267
37,100,2694.991857
36,100,2702.202178
40,100,2709.652055
27,100,2716.887409
40,100,2724.666736
36,100,2731.968323
39,100,2739.6942
35,100,2747.029175
37,100,2754.935827
36,100,2762.236207
35,100,2769.891274
36,100,2777.343694
44,100,2785.131398
37,100,2792.45479
39,100,2800.192447
39,100,2807.47341
34,100,2815.220855
47,100,2822.698549
35,100,2830.286917
42,100,2837.507477
42,100,2844.893313
30,100,2851.830358
39,100,2859.330777
46,100,2866.431367
44,100,2874.102734
35,100,2881.352978
39,100,2888.870725
41,100,2896.158401
35,100,2903.930932
38,100,2911.157365
36,100,2918.730494
34,100,2925.941756
48,100,2933.718365
37,100,2940.85798
44,100,2948.42356
36,100,2955.623576
35,100,2963.335246
43,100,2970.551327
42,100,2978.217696
35,100,2985.464758
33,100,2993.1041
37,100,3000.475882
40,100,3008.169259
36,100,3015.304326
37,100,3022.965042
36,100,3030.228054
41,100,3037.945706
35,100,3045.182316
43,100,3052.854975
39,100,3060.142198
39,100,3067.822575
37,100,3075.054045
40,100,3082.677735
42,100,3089.868529
35,100,3097.547013
38,100,3104.72506
36,100,3112.4158
39,100,3119.569871
43,100,3127.252091
