#{"t_start": 1617871643.875697, "env_id": "Warehouse-v0"}
r,l,t
13,100,10.874449
14,100,18.023808
13,100,25.581664
28,100,32.53012
18,100,39.976168
19,100,46.937392
14,100,54.427015
21,100,61.501128
31,100,68.996567
19,100,75.928129
21,100,83.29822
33,100,90.300008
25,100,97.685387
26,100,104.622196
23,100,112.059858
26,100,119.04971
27,100,126.577111
35,100,133.633659
34,100,141.136667
35,100,148.203378
32,100,155.702986
34,100,162.720242
35,100,170.228589
24,100,177.235857
25,100,184.719569
29,100,191.762338
25,100,199.181006
25,100,206.278149
32,100,213.925745
30,100,220.975567
30,100,228.481106
35,100,235.489508
32,100,242.889878
29,100,249.914752
28,100,257.332866
30,100,264.314788
37,100,271.8054
35,100,278.792157
27,100,286.22225
33,100,293.279924
29,100,300.778826
31,100,307.826739
30,100,315.23023
44,100,322.217423
34,100,329.638061
33,100,336.612325
36,100,344.046111
40,100,350.977526
27,100,358.432485
27,100,365.377131
35,100,372.767249
38,100,379.809318
29,100,387.310564
32,100,394.306673
38,100,401.736359
35,100,408.714684
36,100,416.119814
29,100,423.122353
32,100,430.59537
39,100,437.525404
32,100,444.92156
30,100,451.902854
39,100,459.39359
32,100,466.378728
37,100,473.840127
37,100,480.820058
26,100,488.282031
36,100,495.230721
35,100,502.623286
46,100,509.611828
30,100,517.225396
37,100,524.365072
40,100,531.820979
35,100,538.83624
31,100,546.312113
37,100,553.270139
31,100,560.718277
33,100,567.665019
34,100,575.04985
37,100,581.974096
39,100,589.447407
30,100,596.448502
35,100,603.796391
37,100,610.748733
41,100,618.200791
34,100,625.247814
30,100,632.664537
36,100,639.669654
40,100,647.177084
36,100,654.216228
38,100,661.690056
31,100,668.634772
38,100,676.025983
31,100,683.016459
29,100,690.506818
37,100,697.503713
36,100,704.984884
32,100,712.037759
34,100,719.490382
41,100,726.474764
35,100,733.877232
38,100,740.871422
35,100,748.26912
42,100,755.26882
34,100,762.739228
39,100,769.739259
37,100,777.172433
33,100,784.164482
37,100,791.656788
36,100,798.598372
26,100,806.049183
41,100,813.018219
30,100,820.59332
37,100,827.767463
34,100,835.256826
39,100,842.262757
36,100,849.688835
35,100,856.697956
41,100,864.160963
36,100,871.276
36,100,879.02698
42,100,886.254193
33,100,894.002948
40,100,901.225559
35,100,908.885008
31,100,916.142212
46,100,923.811737
34,100,930.951821
43,100,938.561893
35,100,945.821912
33,100,953.541883
32,100,960.773767
29,100,968.359851
39,100,975.517267
31,100,983.225052
31,100,990.363501
44,100,998.054548
36,100,1005.239284
39,100,1012.880402
37,100,1020.049648
39,100,1027.665071
47,100,1034.839903
37,100,1042.502322
36,100,1049.760275
42,100,1057.419355
33,100,1064.640913
35,100,1072.291848
33,100,1079.48639
31,100,1087.161095
40,100,1094.394026
44,100,1102.056241
44,100,1109.302766
40,100,1117.014542
37,100,1124.164617
36,100,1132.033906
32,100,1139.428291
39,100,1147.129422
43,100,1154.379301
39,100,1162.06445
41,100,1169.239143
39,100,1176.992102
41,100,1184.30069
33,100,1192.011292
33,100,1199.310426
33,100,1207.021718
45,100,1214.218138
26,100,1221.913011
34,100,1229.070022
30,100,1236.588069
30,100,1243.617146
37,100,1251.091552
41,100,1258.120821
36,100,1265.526979
38,100,1272.621315
38,100,1280.375333
43,100,1287.584969
30,100,1295.226586
30,100,1302.396783
36,100,1310.154416
46,100,1317.395367
34,100,1325.099195
45,100,1332.313025
38,100,1339.91557
34,100,1347.156928
30,100,1354.838768
29,100,1362.057756
42,100,1369.714856
30,100,1376.994471
36,100,1384.820583
33,100,1392.178698
30,100,1399.789424
35,100,1407.100253
30,100,1414.865387
36,100,1422.1727
43,100,1429.941714
37,100,1437.190973
42,100,1445.328279
37,100,1452.901335
34,100,1460.930086
37,100,1468.601457
32,100,1476.662377
40,100,1484.23185
47,100,1492.057208
28,100,1499.423984
34,100,1507.317534
40,100,1514.64628
39,100,1522.246184
38,100,1529.40394
39,100,1537.056132
32,100,1544.153374
39,100,1551.712583
36,100,1558.846561
36,100,1566.288106
34,100,1573.277991
35,100,1580.780122
38,100,1587.810938
35,100,1595.291155
34,100,1602.35683
36,100,1609.991206
47,100,1617.339321
32,100,1625.022044
39,100,1632.177565
33,100,1639.92345
37,100,1647.211323
31,100,1654.936995
35,100,1662.211574
35,100,1669.908142
33,100,1677.171419
30,100,1684.886453
34,100,1692.183335
30,100,1699.81664
41,100,1707.103122
43,100,1715.023143
40,100,1722.288459
32,100,1730.099394
44,100,1737.76535
31,100,1745.886321
39,100,1753.533838
31,100,1761.428492
35,100,1768.732635
32,100,1776.527624
38,100,1783.837755
34,100,1791.656655
