#{"t_start": 1617871644.638968, "env_id": "Warehouse-v0"}
r,l,t
19,100,10.118629
12,100,17.271035
21,100,24.818486
23,100,31.776813
18,100,39.221467
15,100,46.183267
28,100,53.674078
25,100,60.746675
30,100,68.242939
27,100,75.17353
26,100,82.545018
19,100,89.544708
26,100,96.93063
30,100,103.868634
24,100,111.30215
27,100,118.293207
28,100,125.823132
25,100,132.877582
30,100,140.381122
27,100,147.446524
34,100,154.950282
29,100,161.9674
24,100,169.474272
29,100,176.480543
34,100,183.964814
30,100,191.004541
17,100,198.429794
34,100,205.523681
35,100,213.173133
27,100,220.220626
33,100,227.730059
30,100,234.738217
42,100,242.140507
28,100,249.159396
32,100,256.579952
38,100,263.560686
34,100,271.051629
40,100,278.038462
34,100,285.469242
32,100,292.527915
29,100,300.023619
28,100,307.072945
37,100,314.473035
34,100,321.463886
30,100,328.883518
31,100,335.857653
41,100,343.291848
44,100,350.22301
39,100,357.678361
33,100,364.619847
32,100,372.011462
29,100,379.055474
31,100,386.556518
37,100,393.553328
43,100,400.985119
40,100,407.956192
41,100,415.369097
42,100,422.367444
30,100,429.835464
32,100,436.769571
29,100,444.167847
33,100,451.141791
33,100,458.639727
38,100,465.624544
40,100,473.087105
47,100,480.068161
33,100,487.517708
34,100,494.474418
46,100,501.865541
39,100,508.858649
29,100,516.466872
36,100,523.611143
33,100,531.065471
40,100,538.080965
35,100,545.547598
39,100,552.515991
34,100,559.963305
31,100,566.910969
38,100,574.296207
28,100,581.21799
33,100,588.693832
38,100,595.69456
35,100,603.04232
42,100,609.996505
28,100,617.44611
34,100,624.480181
37,100,631.908699
42,100,638.915329
35,100,646.424509
36,100,653.460809
45,100,660.922472
34,100,667.880886
34,100,675.27138
35,100,682.264787
40,100,689.75313
33,100,696.749269
34,100,704.233127
32,100,711.283961
37,100,718.738097
42,100,725.720205
37,100,733.123506
45,100,740.116054
40,100,747.512664
33,100,754.51445
45,100,761.985327
47,100,768.986726
37,100,776.418996
38,100,783.410717
34,100,790.902004
31,100,797.84575
34,100,805.293844
35,100,812.269528
35,100,819.841574
41,100,827.013969
35,100,834.500694
36,100,841.508852
30,100,848.937157
35,100,855.943236
32,100,863.404482
41,100,870.522267
39,100,878.277207
38,100,885.500584
45,100,893.251426
48,100,900.470211
39,100,908.131671
28,100,915.387429
29,100,923.059086
33,100,930.198492
41,100,937.80586
29,100,945.064557
40,100,952.789633
31,100,960.023329
39,100,967.608172
38,100,974.760784
31,100,982.467293
33,100,989.607066
30,100,997.302855
35,100,1004.486127
42,100,1012.124388
38,100,1019.304861
36,100,1026.911251
41,100,1034.088479
37,100,1041.749923
27,100,1049.008876
33,100,1056.66652
40,100,1063.887121
33,100,1071.534581
34,100,1078.730581
40,100,1086.40813
38,100,1093.638684
