#{"t_start": 1617871644.5438988, "env_id": "Warehouse-v0"}
r,l,t
18,100,10.211433
16,100,17.362682
17,100,24.908324
26,100,31.869231
19,100,39.314785
26,100,46.274339
23,100,53.76739
22,100,60.83915
18,100,68.335402
23,100,75.266083
28,100,82.637359
29,100,89.641229
24,100,97.022022
29,100,103.961051
33,100,111.394976
34,100,118.392246
30,100,125.914248
28,100,132.976763
19,100,140.474654
33,100,147.546623
24,100,155.042601
37,100,162.060397
34,100,169.567965
41,100,176.575289
24,100,184.058899
26,100,191.097905
32,100,198.518494
41,100,205.618043
27,100,213.269356
37,100,220.314775
28,100,227.820495
38,100,234.827934
37,100,242.23138
29,100,249.250941
27,100,256.67214
37,100,263.652381
20,100,271.144086
32,100,278.132068
38,100,285.561309
30,100,292.618894
32,100,300.117775
38,100,307.165468
30,100,314.572734
25,100,321.557006
31,100,328.975984
35,100,335.951037
26,100,343.384047
33,100,350.317103
30,100,357.771961
31,100,364.714997
40,100,372.105576
28,100,379.148007
31,100,386.650151
41,100,393.645356
45,100,401.075702
37,100,408.057116
23,100,415.459449
26,100,422.460309
35,100,429.927227
32,100,436.862537
36,100,444.260072
34,100,451.240729
42,100,458.732643
35,100,465.717615
38,100,473.179747
31,100,480.158783
36,100,487.611499
40,100,494.568429
33,100,501.966405
38,100,508.951195
31,100,516.561626
38,100,523.703648
31,100,531.16054
39,100,538.178207
33,100,545.645399
38,100,552.608551
40,100,560.058812
40,100,567.003527
30,100,574.388666
33,100,581.312417
32,100,588.78622
32,100,595.787175
39,100,603.136878
35,100,610.087309
36,100,617.539577
43,100,624.573645
40,100,632.001058
30,100,639.008673
42,100,646.516516
33,100,653.554136
32,100,661.015775
36,100,667.973409
37,100,675.364769
41,100,682.355117
44,100,689.845564
41,100,696.842406
33,100,704.328695
35,100,711.37685
35,100,718.829215
35,100,725.813812
36,100,733.216
32,100,740.211449
42,100,747.607828
39,100,754.608115
34,100,762.078005
36,100,769.076854
34,100,776.510602
39,100,783.503248
38,100,790.995393
31,100,797.937821
35,100,805.388824
38,100,812.363185
37,100,819.934263
34,100,827.106382
41,100,834.593105
37,100,841.601339
36,100,849.027889
34,100,856.036938
35,100,863.499432
40,100,870.614731
32,100,878.365985
35,100,885.594497
41,100,893.342808
34,100,900.56348
36,100,908.22388
32,100,915.482002
36,100,923.151255
39,100,930.290812
36,100,937.902902
35,100,945.163891
39,100,952.880291
38,100,960.113065
35,100,967.70258
34,100,974.855137
32,100,982.562571
38,100,989.705116
38,100,997.394747
34,100,1004.57669
38,100,1012.218424
36,100,1019.39425
37,100,1027.003742
32,100,1034.179239
32,100,1041.841146
32,100,1049.103945
39,100,1056.759152
39,100,1063.979608
36,100,1071.628619
35,100,1078.823165
42,100,1086.49996
36,100,1093.730905
49,100,1101.400885
38,100,1108.641603
36,100,1116.354127
34,100,1123.509513
26,100,1131.373646
37,100,1138.766943
41,100,1146.469418
36,100,1153.717253
35,100,1161.404181
39,100,1168.577578
34,100,1176.329236
34,100,1183.639772
28,100,1191.352219
38,100,1198.652584
43,100,1206.361724
33,100,1213.559767
41,100,1221.25235
35,100,1228.411141
43,100,1235.926625
41,100,1242.959714
40,100,1250.430708
33,100,1257.459813
33,100,1264.867819
39,100,1271.960797
36,100,1279.716628
39,100,1286.910989
37,100,1294.556013
33,100,1301.740228
45,100,1309.493723
37,100,1316.738527
35,100,1324.438644
27,100,1331.650492
33,100,1339.259646
31,100,1346.499627
38,100,1354.177885
28,100,1361.399393
42,100,1369.052951
42,100,1376.332502
35,100,1384.160676
32,100,1391.517148
26,100,1399.131001
34,100,1406.43935
28,100,1414.205702
35,100,1421.515201
40,100,1429.280008
35,100,1436.529887
34,100,1444.66782
41,100,1452.241959
41,100,1460.273343
38,100,1467.94095
38,100,1476.001052
47,100,1483.570211
41,100,1491.410144
36,100,1498.761207
38,100,1506.661146
37,100,1513.986148
35,100,1521.584897
35,100,1528.742995
36,100,1536.39506
37,100,1543.494135
37,100,1551.050455
35,100,1558.188969
37,100,1565.631214
34,100,1572.615762
36,100,1580.119562
40,100,1587.148925
30,100,1594.629116
31,100,1601.694475
35,100,1609.334343
41,100,1616.679697
37,100,1624.359965
40,100,1631.518607
41,100,1639.263656
34,100,1646.551621
42,100,1654.276227
37,100,1661.550768
34,100,1669.247949
42,100,1676.508848
32,100,1684.225353
34,100,1691.516062
39,100,1699.156095
34,100,1706.437823
38,100,1714.367013
49,100,1721.630003
37,100,1729.433597
38,100,1737.105251
29,100,1745.228119
38,100,1752.873373
32,100,1760.767194
36,100,1768.071475
40,100,1775.870119
34,100,1783.177346
37,100,1790.99924
35,100,1798.349504
40,100,1806.229855
30,100,1813.604967
36,100,1821.39011
30,100,1828.69317
41,100,1836.489069
35,100,1843.90193
33,100,1851.727079
38,100,1858.983812
40,100,1866.746662
38,100,1874.060298
36,100,1881.947937
37,100,1889.230542
40,100,1897.005196
39,100,1904.364266
39,100,1912.154806
39,100,1919.477951
36,100,1927.250122
38,100,1934.558462
33,100,1942.355818
29,100,1949.615098
35,100,1957.393852
33,100,1964.63904
41,100,1972.491755
35,100,1979.887997
46,100,1987.662917
39,100,1995.082569
47,100,2002.992606
36,100,2010.384341
40,100,2018.212133
40,100,2025.548337
34,100,2033.293989
42,100,2040.794046
37,100,2048.737615
39,100,2056.256181
40,100,2064.601264
40,100,2072.679926
44,100,2081.099067
43,100,2088.61664
41,100,2096.572814
46,100,2103.940166
44,100,2111.699108
34,100,2118.928919
35,100,2126.590095
32,100,2133.858145
40,100,2141.626674
36,100,2148.895699
36,100,2156.628965
42,100,2163.919696
41,100,2171.671201
31,100,2178.896659
30,100,2186.590534
35,100,2193.807452
30,100,2201.544375
40,100,2208.841705
32,100,2216.535671
41,100,2223.741981
46,100,2231.518324
31,100,2238.806494
34,100,2246.506109
33,100,2253.749563
36,100,2261.523093
33,100,2268.810935
45,100,2276.615637
40,100,2283.9202
34,100,2291.669215
42,100,2298.879782
39,100,2306.584367
30,100,2313.858331
41,100,2321.579789
40,100,2328.910081
35,100,2336.789285
33,100,2344.086166
32,100,2351.987067
43,100,2359.262696
34,100,2367.051059
45,100,2374.380588
33,100,2382.370681
38,100,2389.763217
47,100,2397.577981
42,100,2404.988213
37,100,2412.822433
42,100,2420.055887
34,100,2428.08266
35,100,2435.641726
41,100,2443.6428
43,100,2450.820661
